column,dtype,null_count,null_percent,distinct_non_null
id,String,0,0.0,342624
data_inversa,Date,0,0.0,1826
dia_semana,String,0,0.0,7
horario,Time,0,0.0,1440
uf,String,0,0.0,27
br,Int64,0,0.0,126
km,Float64,0,0.0,9498
municipio,String,0,0.0,2050
causa_acidente,String,0,0.0,76
tipo_acidente,String,0,0.0,18
classificacao_acidente,String,5,0.001459,3
fase_dia,String,0,0.0,4
sentido_via,String,0,0.0,3
condicao_metereologica,String,0,0.0,10
tipo_pista,String,0,0.0,3
tracado_via,String,0,0.0,1214
uso_solo,String,0,0.0,2
pessoas,Int64,0,0.0,75
mortos,Int64,0,0.0,18
feridos_leves,Int64,0,0.0,47
feridos_graves,Int64,0,0.0,29
ilesos,Int64,0,0.0,65
ignorados,Int64,0,0.0,29
feridos,Int64,0,0.0,55
veiculos,Int64,0,0.0,30
latitude,Float64,0,0.0,163921
longitude,Float64,0,0.0,163772
regional,String,27,0.00788,28
delegacia,String,127,0.037067,155
uop,String,282,0.082306,408
source_year,Int64,0,0.0,5
target_grave,Boolean,0,0.0,2
