source_year,fase_dia,total_occurrences,severe_occurrences,severe_rate_percent
2021,Amanhecer,2999,859,28.642881
2021,Pleno dia,34799,8754,25.155895
2021,Anoitecer,3656,1126,30.798687
2021,Plena Noite,23113,7379,31.925756
2022,Amanhecer,3352,996,29.713604
2022,Pleno dia,34840,8901,25.54822
2022,Anoitecer,3541,1046,29.539678
2022,Plena Noite,22873,7466,32.641105
2023,Amanhecer,3334,1046,31.373725
2023,Pleno dia,37323,9314,24.955122
2023,Anoitecer,3714,1082,29.13301
2023,Plena Noite,23395,7770,33.212225
2024,Amanhecer,3469,1099,31.6806
2024,Pleno dia,40284,10228,25.389733
2024,Anoitecer,3984,1130,28.363454
2024,Plena Noite,25419,8168,32.133443
2025,Amanhecer,3447,1063,30.83841
2025,Pleno dia,40375,10280,25.4613
2025,Anoitecer,3926,1102,28.069282
2025,Plena Noite,24781,8048,32.476494
