source_year,hour,total_occurrences,severe_occurrences,severe_rate_percent
2021,0,1473,443,30.074678
2021,1,1232,358,29.058442
2021,2,1135,336,29.603524
2021,3,1159,337,29.07679
2021,4,1385,393,28.375451
2021,5,1863,530,28.448739
2021,6,2764,753,27.243126
2021,7,3736,922,24.678801
2021,8,3114,714,22.928709
2021,9,2636,614,23.292868
2021,10,2571,627,24.387398
2021,11,2833,701,24.744088
2021,12,2645,715,27.032136
2021,13,2734,694,25.384053
2021,14,3079,781,25.365378
2021,15,3300,849,25.727273
2021,16,3637,985,27.082761
2021,17,4371,1206,27.59094
2021,18,4869,1593,32.71719
2021,19,4330,1411,32.586605
2021,20,3201,1062,33.177132
2021,21,2524,843,33.399366
2021,22,2169,681,31.396957
2021,23,1807,570,31.543996
2022,0,1460,448,30.684932
2022,1,1303,386,29.623945
2022,2,1185,354,29.873418
2022,3,1190,381,32.016807
2022,4,1535,481,31.335505
2022,5,2038,624,30.618253
2022,6,2870,797,27.770035
2022,7,3875,946,24.412903
2022,8,3177,727,22.883223
2022,9,2701,653,24.176231
2022,10,2654,642,24.189902
2022,11,2816,730,25.923295
2022,12,2647,711,26.860597
2022,13,2732,741,27.122987
2022,14,2957,779,26.344268
2022,15,3279,875,26.684965
2022,16,3547,906,25.542712
2022,17,4201,1155,27.493454
2022,18,4682,1508,32.208458
2022,19,4120,1448,35.145631
2022,20,3133,987,31.503351
2022,21,2480,800,32.258065
2022,22,2215,713,32.189616
2022,23,1809,617,34.107242
2023,0,1419,418,29.457364
2023,1,1215,371,30.534979
2023,2,1107,365,32.971996
2023,3,1205,394,32.697095
2023,4,1469,462,31.449966
2023,5,2055,679,33.041363
2023,6,3071,825,26.864214
2023,7,4197,1002,23.874196
2023,8,3411,775,22.72061
2023,9,2828,697,24.646393
2023,10,2839,720,25.361043
2023,11,2963,746,25.177185
2023,12,2782,691,24.838246
2023,13,2937,709,24.140279
2023,14,3246,864,26.617375
2023,15,3479,860,24.719747
2023,16,3776,986,26.112288
2023,17,4468,1241,27.775291
2023,18,5126,1657,32.3254
2023,19,4283,1460,34.088256
2023,20,3156,1053,33.365019
2023,21,2617,909,34.734429
2023,22,2248,732,32.562278
2023,23,1869,596,31.888711
2024,0,1458,446,30.589849
2024,1,1373,387,28.186453
2024,2,1211,355,29.314616
2024,3,1338,410,30.64275
2024,4,1536,454,29.557292
2024,5,2240,725,32.366071
2024,6,3201,901,28.147454
2024,7,4596,1120,24.369017
2024,8,3727,910,24.416421
2024,9,2993,664,22.185099
2024,10,3057,726,23.748773
2024,11,3114,826,26.525369
2024,12,3111,777,24.975892
2024,13,3181,808,25.400817
2024,14,3483,927,26.614987
2024,15,3676,935,25.435256
2024,16,4093,1079,26.362082
2024,17,4833,1379,28.533002
2024,18,5494,1712,31.161267
2024,19,4843,1640,33.863308
2024,20,3375,1109,32.859259
2024,21,2842,932,32.793807
2024,22,2417,767,31.733554
2024,23,1964,636,32.382892
2025,0,1508,468,31.034483
2025,1,1291,397,30.751356
2025,2,1160,380,32.758621
2025,3,1263,392,31.037213
2025,4,1595,493,30.909091
2025,5,2090,654,31.291866
2025,6,3169,910,28.715683
2025,7,4583,1139,24.852717
2025,8,3765,850,22.576361
2025,9,3108,747,24.034749
2025,10,3069,759,24.731183
2025,11,3165,824,26.034755
2025,12,3103,784,25.265872
2025,13,3141,799,25.437759
2025,14,3434,910,26.499709
2025,15,3690,1001,27.127371
2025,16,4089,1051,25.703106
2025,17,4845,1350,27.863777
2025,18,5398,1674,31.011486
2025,19,4646,1537,33.082221
2025,20,3429,1134,33.070866
2025,21,2737,911,33.284618
2025,22,2395,747,31.189979
2025,23,1856,582,31.357759
