hour,total_occurrences,severe_occurrences,non_severe_occurrences,severe_rate_percent,dataset_share_percent
0,7318,2223,5095,30.377152,2.135869
1,6414,1899,4515,29.607109,1.872023
2,5798,1790,4008,30.872715,1.692234
3,6155,1914,4241,31.096669,1.79643
4,7520,2283,5237,30.359043,2.194826
5,10286,3212,7074,31.22691,3.002125
6,15075,4186,10889,27.767828,4.399867
7,20987,5129,15858,24.438938,6.125374
8,17194,3976,13218,23.124346,5.018329
9,14266,3375,10891,23.657648,4.163748
10,14190,3474,10716,24.48203,4.141566
11,14891,3827,11064,25.700087,4.346164
12,14288,3678,10610,25.741881,4.170169
13,14725,3751,10974,25.473684,4.297714
14,16199,4261,11938,26.304093,4.727923
15,17424,4520,12904,25.94123,5.085458
16,19142,5007,14135,26.157141,5.586882
17,22718,6331,16387,27.86777,6.630592
18,25569,8144,17425,31.85107,7.4627
19,22222,7496,14726,33.732337,6.485827
20,16294,5345,10949,32.803486,4.755651
21,13200,4395,8805,33.295455,3.85262
22,11444,3640,7804,31.80706,3.340105
23,9305,3001,6304,32.251478,2.715805
