source_year,month_name,total_occurrences,severe_occurrences,severe_rate_percent
2021,Janeiro,5461,1473,26.973082
2021,Fevereiro,4979,1344,26.993372
2021,Março,4756,1278,26.87132
2021,Abril,4857,1387,28.556722
2021,Maio,5595,1651,29.50849
2021,Junho,5318,1425,26.795788
2021,Julho,5814,1652,28.414173
2021,Agosto,5624,1602,28.485064
2021,Setembro,5441,1582,29.075538
2021,Outubro,5777,1618,28.007616
2021,Novembro,5098,1468,28.795606
2021,Dezembro,5847,1638,28.014366
2022,Janeiro,5049,1456,28.837394
2022,Fevereiro,4869,1379,28.322037
2022,Março,5175,1420,27.439614
2022,Abril,5339,1537,28.788163
2022,Maio,5399,1514,28.04223
2022,Junho,5115,1458,28.504399
2022,Julho,5659,1613,28.503269
2022,Agosto,5610,1629,29.037433
2022,Setembro,5532,1636,29.573391
2022,Outubro,5792,1690,29.178177
2022,Novembro,5229,1471,28.131574
2022,Dezembro,5838,1606,27.509421
2023,Janeiro,5254,1525,29.025504
2023,Fevereiro,4751,1273,26.794359
2023,Março,5596,1596,28.520372
2023,Abril,5603,1506,26.878458
2023,Maio,5638,1650,29.265697
2023,Junho,5735,1680,29.29381
2023,Julho,5966,1690,28.327187
2023,Agosto,5613,1599,28.48744
2023,Setembro,5664,1572,27.754237
2023,Outubro,5740,1664,28.989547
2023,Novembro,5592,1597,28.558655
2023,Dezembro,6614,1860,28.122165
2024,Janeiro,5755,1603,27.85404
2024,Fevereiro,5280,1445,27.367424
2024,Março,5957,1690,28.369985
2024,Abril,5835,1666,28.551842
2024,Maio,6186,1759,28.435176
2024,Junho,6225,1801,28.931727
2024,Julho,6401,1764,27.558194
2024,Agosto,6167,1790,29.025458
2024,Setembro,6222,1756,28.222437
2024,Outubro,6406,1774,27.692788
2024,Novembro,6135,1724,28.101059
2024,Dezembro,6587,1853,28.131167
2025,Janeiro,5528,1505,27.225036
2025,Fevereiro,5287,1427,26.990732
2025,Março,5960,1632,27.38255
2025,Abril,5786,1626,28.102316
2025,Maio,6096,1820,29.855643
2025,Junho,6122,1752,28.618099
2025,Julho,6238,1821,29.192049
2025,Agosto,6246,1779,28.482229
2025,Setembro,6017,1694,28.153565
2025,Outubro,6252,1795,28.710813
2025,Novembro,6209,1763,28.394266
2025,Dezembro,6788,1879,27.681202
