month_name,total_occurrences,severe_occurrences,non_severe_occurrences,severe_rate_percent,dataset_share_percent,calendar_days,occurrences_per_calendar_day
Janeiro,27047,7562,19485,27.958738,7.894076,155,174.496774
Fevereiro,25166,6868,18298,27.290789,7.345078,141,178.48227
Março,27444,7616,19828,27.751057,8.009947,155,177.058065
Abril,27420,7722,19698,28.161926,8.002942,150,182.8
Maio,28914,8394,20520,29.030919,8.438989,155,186.541935
Junho,28515,8116,20399,28.462213,8.322534,150,190.1
Julho,30078,8540,21538,28.392845,8.77872,155,194.051613
Agosto,29260,8399,20861,28.704716,8.539974,155,188.774194
Setembro,28876,8240,20636,28.535808,8.427898,150,192.506667
Outubro,29967,8541,21426,28.501351,8.746322,155,193.335484
Novembro,28263,8023,20240,28.386937,8.248984,150,188.42
Dezembro,31674,8836,22838,27.896698,9.244536,155,204.348387
