dimension,category,years_observed,minimum_annual_rate_percent,maximum_annual_rate_percent,range_percentage_points
month,Setembro,5,27.754237,29.573391,1.819154
month,Abril,5,26.878458,28.788163,1.909705
month,Outubro,5,27.692788,29.178177,1.485389
month,Dezembro,5,27.509421,28.131167,0.621746
month,Maio,5,28.04223,29.855643,1.813413
month,Julho,5,27.558194,29.192049,1.633855
month,Janeiro,5,26.973082,29.025504,2.052422
month,Março,5,26.87132,28.520372,1.649052
month,Junho,5,26.795788,29.29381,2.498022
month,Fevereiro,5,26.794359,28.322037,1.527678
month,Novembro,5,28.101059,28.795606,0.694547
month,Agosto,5,28.482229,29.037433,0.555204
weekday,sábado,5,29.155571,30.658381,1.50281
weekday,segunda-feira,5,26.708799,27.467301,0.758502
weekday,sexta-feira,5,27.138788,29.247939,2.109151
weekday,quinta-feira,5,26.751728,28.254963,1.503235
weekday,terça-feira,5,26.651481,27.197838,0.546357
weekday,domingo,5,30.182927,30.72348,0.540553
weekday,quarta-feira,5,26.432859,27.574299,1.14144
hour,16,5,25.542712,27.082761,1.540049
hour,20,5,31.503351,33.365019,1.861668
hour,7,5,23.874196,24.852717,0.978521
hour,18,5,31.011486,32.71719,1.705704
hour,14,5,25.365378,26.617375,1.251997
hour,11,5,24.744088,26.525369,1.781281
hour,21,5,32.258065,34.734429,2.476364
hour,8,5,22.576361,24.416421,1.84006
hour,17,5,27.493454,28.533002,1.039548
hour,6,5,26.864214,28.715683,1.851469
hour,5,5,28.448739,33.041363,4.592624
hour,22,5,31.189979,32.562278,1.372299
hour,0,5,29.457364,31.034483,1.577119
hour,12,5,24.838246,27.032136,2.19389
hour,15,5,24.719747,27.127371,2.407624
hour,23,5,31.357759,34.107242,2.749483
hour,9,5,22.185099,24.646393,2.461294
hour,4,5,28.375451,31.449966,3.074515
hour,1,5,28.186453,30.751356,2.564903
hour,10,5,23.748773,25.361043,1.61227
hour,2,5,29.314616,32.971996,3.65738
hour,3,5,29.07679,32.697095,3.620305
hour,13,5,24.140279,27.122987,2.982708
hour,19,5,32.586605,35.145631,2.559026
day_phase,Pleno dia,5,24.955122,25.54822,0.593098
day_phase,Plena Noite,5,31.925756,33.212225,1.286469
day_phase,Anoitecer,5,28.069282,30.798687,2.729405
day_phase,Amanhecer,5,28.642881,31.6806,3.037719
