source_year,dia_semana,total_occurrences,severe_occurrences,severe_rate_percent
2021,segunda-feira,8640,2364,27.361111
2021,terça-feira,7799,2119,27.17015
2021,quarta-feira,8001,2146,26.821647
2021,quinta-feira,8248,2237,27.121726
2021,sexta-feira,10181,2763,27.138788
2021,sábado,10874,3222,29.630311
2021,domingo,10824,3267,30.182927
2022,segunda-feira,8824,2408,27.289211
2022,terça-feira,7769,2113,27.197838
2022,quarta-feira,7954,2153,27.068142
2022,quinta-feira,8196,2211,26.976574
2022,sexta-feira,9946,2909,29.247939
2022,sábado,10939,3297,30.139867
2022,domingo,10978,3318,30.224085
2023,segunda-feira,9251,2541,27.467301
2023,terça-feira,8341,2223,26.651481
2023,quarta-feira,8497,2246,26.432859
2023,quinta-feira,8924,2471,27.689377
2023,sexta-feira,10385,2866,27.597496
2023,sábado,11103,3404,30.658381
2023,domingo,11265,3461,30.72348
2024,segunda-feira,10208,2779,27.223746
2024,terça-feira,9312,2514,26.997423
2024,quarta-feira,9384,2533,26.992754
2024,quinta-feira,9570,2704,28.254963
2024,sexta-feira,11300,3150,27.876106
2024,sábado,11641,3394,29.155571
2024,domingo,11741,3551,30.244443
2025,segunda-feira,10285,2747,26.708799
2025,terça-feira,9062,2464,27.190466
2025,quarta-feira,9556,2635,27.574299
2025,quinta-feira,9405,2516,26.751728
2025,sexta-feira,11197,3112,27.793159
2025,sábado,11554,3523,30.491605
2025,domingo,11470,3496,30.479512
