br,br_label,total_occurrences,severe_occurrences,severe_rate_percent
10,BR 10,2139,992,46.376812
423,BR 423,999,463,46.346346
316,BR 316,5889,2652,45.033113
226,BR 226,1290,577,44.728682
259,BR 259,623,264,42.375602
222,BR 222,3088,1288,41.709845
242,BR 242,1635,675,41.284404
251,BR 251,1554,634,40.797941
110,BR 110,1558,632,40.564827
407,BR 407,1375,551,40.072727
406,BR 406,645,256,39.689922
235,BR 235,1497,587,39.211757
232,BR 232,4148,1623,39.12729
104,BR 104,2156,834,38.682746
135,BR 135,2692,1040,38.632987
