br,br_label,total_occurrences,severe_occurrences,non_severe_occurrences,severe_rate_percent,dataset_share_percent
0,Não identificada (BR 0),883,81,802,9.173273,0.257717
10,BR 10,2139,992,1147,46.376812,0.6243
20,BR 20,3801,1146,2655,30.149961,1.109379
30,BR 30,131,62,69,47.328244,0.038234
40,BR 40,16390,4015,12375,24.496644,4.78367
50,BR 50,4032,924,3108,22.916667,1.1768
60,BR 60,5079,1375,3704,27.072258,1.482383
70,BR 70,4982,1184,3798,23.765556,1.454072
80,BR 80,620,191,429,30.806452,0.180956
101,BR 101,59370,15468,43902,26.053562,17.328033
104,BR 104,2156,834,1322,38.682746,0.629261
110,BR 110,1558,632,926,40.564827,0.454726
116,BR 116,52837,12309,40528,23.296175,15.421278
122,BR 122,12,7,5,58.333333,0.003502
135,BR 135,2692,1040,1652,38.632987,0.785701
146,BR 146,322,99,223,30.745342,0.093981
153,BR 153,12965,3665,9300,28.268415,3.784031
155,BR 155,255,106,149,41.568627,0.074426
156,BR 156,285,111,174,38.947368,0.083182
158,BR 158,3456,964,2492,27.893519,1.008686
163,BR 163,11653,3276,8377,28.112932,3.401104
174,BR 174,2098,650,1448,30.981888,0.612333
210,BR 210,539,162,377,30.055659,0.157315
222,BR 222,3088,1288,1800,41.709845,0.90128
226,BR 226,1290,577,713,44.728682,0.376506
230,BR 230,7468,2723,4745,36.462239,2.179649
232,BR 232,4148,1623,2525,39.12729,1.210657
235,BR 235,1497,587,910,39.211757,0.436922
242,BR 242,1635,675,960,41.284404,0.477199
251,BR 251,1554,634,920,40.797941,0.453558
259,BR 259,623,264,359,42.375602,0.181832
262,BR 262,8495,2876,5619,33.855209,2.479394
265,BR 265,4,1,3,25.0,0.001167
267,BR 267,1342,486,856,36.214605,0.391683
272,BR 272,268,97,171,36.19403,0.07822
277,BR 277,10017,2609,7408,26.045722,2.923613
280,BR 280,3931,1050,2881,26.710761,1.147322
282,BR 282,6340,1753,4587,27.649842,1.850425
285,BR 285,2193,558,1635,25.444596,0.64006
287,BR 287,641,167,474,26.053042,0.187086
290,BR 290,3525,706,2819,20.028369,1.028825
293,BR 293,570,153,417,26.842105,0.166363
304,BR 304,1898,590,1308,31.085353,0.55396
307,BR 307,6,1,5,16.666667,0.001751
308,BR 308,142,88,54,61.971831,0.041445
316,BR 316,5889,2652,3237,45.033113,1.718794
317,BR 317,231,108,123,46.753247,0.067421
319,BR 319,921,222,699,24.104235,0.268808
324,BR 324,4099,860,3239,20.980727,1.196355
330,BR 330,241,119,122,49.377593,0.070339
342,BR 342,2,1,1,50.0,0.000584
343,BR 343,2962,1106,1856,37.339635,0.864505
349,BR 349,109,61,48,55.963303,0.031813
352,BR 352,1,0,1,0.0,0.000292
354,BR 354,488,107,381,21.92623,0.14243
356,BR 356,1052,303,749,28.802281,0.307042
359,BR 359,55,20,35,36.363636,0.016053
361,BR 361,198,101,97,51.010101,0.057789
363,BR 363,1,0,1,0.0,0.000292
364,BR 364,10737,3136,7601,29.207414,3.133756
365,BR 365,3038,977,2061,32.159315,0.886686
367,BR 367,545,198,347,36.330275,0.159066
369,BR 369,4109,1263,2846,30.737406,1.199274
373,BR 373,1174,440,734,37.478705,0.34265
376,BR 376,8791,2368,6423,26.93664,2.565786
381,BR 381,16236,3833,12403,23.608032,4.738722
386,BR 386,3193,793,2400,24.835578,0.931925
392,BR 392,1861,457,1404,24.55669,0.543161
393,BR 393,1748,488,1260,27.91762,0.51018
401,BR 401,213,79,134,37.089202,0.062167
402,BR 402,284,147,137,51.760563,0.08289
403,BR 403,25,20,5,80.0,0.007297
405,BR 405,475,238,237,50.105263,0.138636
406,BR 406,645,256,389,39.689922,0.188253
407,BR 407,1375,551,824,40.072727,0.401315
408,BR 408,653,241,412,36.906585,0.190588
410,BR 410,117,42,75,35.897436,0.034148
412,BR 412,134,71,63,52.985075,0.03911
414,BR 414,690,265,425,38.405797,0.201387
415,BR 415,325,103,222,31.692308,0.094856
416,BR 416,36,29,7,80.555556,0.010507
418,BR 418,155,80,75,51.612903,0.045239
419,BR 419,57,25,32,43.859649,0.016636
420,BR 420,113,77,36,68.141593,0.032981
