br,br_label,total_occurrences,severe_occurrences,severe_rate_percent
101,BR 101,59370,15468,26.053562
116,BR 116,52837,12309,23.296175
40,BR 40,16390,4015,24.496644
381,BR 381,16236,3833,23.608032
153,BR 153,12965,3665,28.268415
163,BR 163,11653,3276,28.112932
364,BR 364,10737,3136,29.207414
277,BR 277,10017,2609,26.045722
376,BR 376,8791,2368,26.93664
262,BR 262,8495,2876,33.855209
230,BR 230,7468,2723,36.462239
470,BR 470,7286,2058,28.245951
282,BR 282,6340,1753,27.649842
316,BR 316,5889,2652,45.033113
60,BR 60,5079,1375,27.072258
