source_year,macroregion,total_occurrences,severe_occurrences,severe_rate_percent
2021,Norte,3553,1218,34.280889
2021,Nordeste,13556,4678,34.508705
2021,Centro-Oeste,7955,2189,27.517285
2021,Sudeste,19728,5087,25.785685
2021,Sul,19775,4946,25.011378
2022,Norte,3529,1202,34.06064
2022,Nordeste,13640,4885,35.813783
2022,Centro-Oeste,7852,2217,28.234845
2022,Sudeste,19668,5065,25.752491
2022,Sul,19917,5040,25.305016
2023,Norte,3545,1298,36.614951
2023,Nordeste,14643,5276,36.030868
2023,Centro-Oeste,8156,2317,28.408534
2023,Sudeste,21577,5387,24.966399
2023,Sul,19845,4934,24.862686
2024,Norte,3938,1386,35.195531
2024,Nordeste,16374,6044,36.912178
2024,Centro-Oeste,8718,2385,27.357192
2024,Sudeste,22963,5717,24.896573
2024,Sul,21163,5093,24.065586
2025,Norte,3975,1292,32.503145
2025,Nordeste,16019,5779,36.07591
2025,Centro-Oeste,8497,2338,27.515594
2025,Sudeste,23323,5871,25.172576
2025,Sul,20715,5213,25.165339
