uf,municipio,municipality_label,total_occurrences,severe_occurrences,severe_rate_percent
BA,BARREIRAS,BARREIRAS - BA,500,236,47.2
PI,PICOS,PICOS - PI,572,240,41.958042
MG,SABARA,SABARA - MG,592,248,41.891892
MG,TEOFILO OTONI,TEOFILO OTONI - MG,671,265,39.493294
MA,IMPERATRIZ,IMPERATRIZ - MA,628,243,38.694268
MG,GOVERNADOR VALADARES,GOVERNADOR VALADARES - MG,1112,408,36.690647
RO,CACOAL,CACOAL - RO,517,186,35.976789
MG,NOVA SERRANA,NOVA SERRANA - MG,505,179,35.445545
PA,MARABA,MARABA - PA,777,272,35.006435
CE,CAUCAIA,CAUCAIA - CE,917,319,34.78735
ES,CARIACICA,CARIACICA - ES,1244,419,33.681672
BA,EUNAPOLIS,EUNAPOLIS - BA,550,183,33.272727
SC,INDAIAL,INDAIAL - SC,803,267,33.250311
GO,LUZIANIA,LUZIANIA - GO,896,297,33.147321
PI,TERESINA,TERESINA - PI,2062,662,32.104753
