uf,municipio,municipality_label,total_occurrences,severe_occurrences,non_severe_occurrences,severe_rate_percent,dataset_share_percent
AC,ACRELANDIA,ACRELANDIA - AC,35,18,17,51.428571,0.010215
AC,ASSIS BRASIL,ASSIS BRASIL - AC,6,4,2,66.666667,0.001751
AC,BRASILEIA,BRASILEIA - AC,32,17,15,53.125,0.00934
AC,BUJARI,BUJARI - AC,52,19,33,36.538462,0.015177
AC,CAPIXABA,CAPIXABA - AC,41,15,26,36.585366,0.011966
AC,CRUZEIRO DO SUL,CRUZEIRO DO SUL - AC,11,4,7,36.363636,0.003211
AC,EPITACIOLANDIA,EPITACIOLANDIA - AC,43,18,25,41.860465,0.01255
AC,FEIJO,FEIJO - AC,11,4,7,36.363636,0.003211
AC,MANOEL URBANO,MANOEL URBANO - AC,9,5,4,55.555556,0.002627
AC,PLACIDO DE CASTRO,PLACIDO DE CASTRO - AC,12,7,5,58.333333,0.003502
AC,PORTO ACRE,PORTO ACRE - AC,9,7,2,77.777778,0.002627
AC,RIO BRANCO,RIO BRANCO - AC,805,215,590,26.708075,0.234951
AC,SENA MADUREIRA,SENA MADUREIRA - AC,68,28,40,41.176471,0.019847
AC,SENADOR GUIOMARD,SENADOR GUIOMARD - AC,99,43,56,43.434343,0.028895
AC,TARAUACA,TARAUACA - AC,4,3,1,75.0,0.001167
AC,XAPURI,XAPURI - AC,35,13,22,37.142857,0.010215
AL,AGUA BRANCA,AGUA BRANCA - AL,39,19,20,48.717949,0.011383
AL,ARAPIRACA,ARAPIRACA - AL,1,0,1,0.0,0.000292
AL,ATALAIA,ATALAIA - AL,165,78,87,47.272727,0.048158
AL,BELEM,BELEM - AL,22,14,8,63.636364,0.006421
AL,BOCA DA MATA,BOCA DA MATA - AL,2,1,1,50.0,0.000584
AL,BRANQUINHA,BRANQUINHA - AL,46,16,30,34.782609,0.013426
AL,CACIMBINHAS,CACIMBINHAS - AL,36,15,21,41.666667,0.010507
AL,CAMPO ALEGRE,CAMPO ALEGRE - AL,29,11,18,37.931034,0.008464
AL,CANAPI,CANAPI - AL,64,34,30,53.125,0.018679
AL,COLONIA LEOPOLDINA,COLONIA LEOPOLDINA - AL,19,16,3,84.210526,0.005545
AL,COQUEIRO SECO,COQUEIRO SECO - AL,9,6,3,66.666667,0.002627
AL,DELMIRO GOUVEIA,DELMIRO GOUVEIA - AL,83,39,44,46.987952,0.024225
AL,DOIS RIACHOS,DOIS RIACHOS - AL,32,24,8,75.0,0.00934
AL,ESTRELA DE ALAGOAS,ESTRELA DE ALAGOAS - AL,33,23,10,69.69697,0.009632
AL,FLEXEIRAS,FLEXEIRAS - AL,124,16,108,12.903226,0.036191
AL,IBATEGUARA,IBATEGUARA - AL,12,10,2,83.333333,0.003502
AL,IGACI,IGACI - AL,2,1,1,50.0,0.000584
AL,IGREJA NOVA,IGREJA NOVA - AL,6,1,5,16.666667,0.001751
AL,INHAPI,INHAPI - AL,27,18,9,66.666667,0.00788
AL,JEQUIA DA PRAIA,JEQUIA DA PRAIA - AL,46,16,30,34.782609,0.013426
AL,JOAQUIM GOMES,JOAQUIM GOMES - AL,70,22,48,31.428571,0.020431
AL,JUNQUEIRO,JUNQUEIRO - AL,115,48,67,41.73913,0.033564
AL,MACEIO,MACEIO - AL,11,3,8,27.272727,0.003211
AL,MARAVILHA,MARAVILHA - AL,10,3,7,30.0,0.002919
AL,MARECHAL DEODORO,MARECHAL DEODORO - AL,56,21,35,37.5,0.016344
AL,MARIBONDO,MARIBONDO - AL,49,18,31,36.734694,0.014301
AL,MATA GRANDE,MATA GRANDE - AL,6,6,0,100.0,0.001751
AL,MATRIZ DE CAMARAGIBE,MATRIZ DE CAMARAGIBE - AL,3,1,2,33.333333,0.000876
AL,MESSIAS,MESSIAS - AL,130,30,100,23.076923,0.037942
AL,MINADOR DO NEGRAO,MINADOR DO NEGRAO - AL,12,2,10,16.666667,0.003502
AL,MURICI,MURICI - AL,80,33,47,41.25,0.023349
AL,NOVO LINO,NOVO LINO - AL,63,19,44,30.15873,0.018388
AL,OLHO DAGUA GRANDE,OLHO DAGUA GRANDE - AL,7,2,5,28.571429,0.002043
