uf,municipio,municipality_label,total_occurrences,severe_occurrences,severe_rate_percent
DF,BRASILIA,BRASILIA - DF,4948,948,19.159256
SP,GUARULHOS,GUARULHOS - SP,3914,571,14.588656
PR,CURITIBA,CURITIBA - PR,3774,720,19.077901
SC,SAO JOSE,SAO JOSE - SC,3629,707,19.481951
RJ,DUQUE DE CAXIAS,DUQUE DE CAXIAS - RJ,3508,544,15.507412
MG,BETIM,BETIM - MG,3084,623,20.201038
SC,PALHOCA,PALHOCA - SC,2851,741,25.99088
PE,RECIFE,RECIFE - PE,2763,765,27.687296
ES,SERRA,SERRA - ES,2559,700,27.354435
PR,SAO JOSE DOS PINHAIS,SAO JOSE DOS PINHAIS - PR,2286,446,19.510061
PB,JOAO PESSOA,JOAO PESSOA - PB,2072,593,28.619691
PI,TERESINA,TERESINA - PI,2062,662,32.104753
SC,ITAJAI,ITAJAI - SC,1915,438,22.872063
RO,PORTO VELHO,PORTO VELHO - RO,1893,531,28.050713
CE,FORTALEZA,FORTALEZA - CE,1849,520,28.12331
