source_year,uf,total_occurrences,severe_occurrences,severe_rate_percent
2021,AC,256,93,36.328125
2021,AL,580,235,40.517241
2021,AM,93,29,31.182796
2021,AP,170,56,32.941176
2021,BA,3316,1093,32.961399
2021,CE,1543,546,35.385612
2021,DF,982,175,17.820774
2021,ES,2525,909,36.0
2021,GO,3191,943,29.551865
2021,MA,1131,477,42.175066
2021,MG,8334,2442,29.301656
2021,MS,1642,494,30.085262
2021,MT,2140,577,26.962617
2021,PA,846,353,41.725768
2021,PB,1441,463,32.130465
2021,PE,2556,877,34.311424
2021,PI,1139,418,36.698859
2021,PR,7346,2008,27.334604
2021,RJ,4569,952,20.836069
2021,RN,1339,418,31.217326
2021,RO,1419,420,29.598309
2021,RR,268,75,27.985075
2021,RS,4539,1034,22.780348
2021,SC,7890,1904,24.131812
2021,SE,511,151,29.549902
2021,SP,4300,784,18.232558
2021,TO,501,192,38.323353
2022,AC,224,77,34.375
2022,AL,595,210,35.294118
2022,AM,114,33,28.947368
2022,AP,180,63,35.0
2022,BA,3449,1217,35.28559
2022,CE,1373,475,34.595776
2022,DF,922,177,19.197397
2022,ES,2280,760,33.333333
2022,GO,3112,881,28.309769
2022,MA,1084,466,42.98893
2022,MG,8295,2427,29.25859
2022,MS,1639,518,31.604637
2022,MT,2179,641,29.417164
2022,PA,834,375,44.964029
2022,PB,1476,488,33.062331
2022,PE,2749,973,35.394689
2022,PI,1115,467,41.883408
2022,PR,7393,1980,26.782091
2022,RJ,4708,1030,21.877655
2022,RN,1288,392,30.434783
2022,RO,1380,365,26.449275
2022,RR,229,78,34.061135
2022,RS,4931,1077,21.841411
2022,SC,7593,1983,26.11616
2022,SE,511,197,38.551859
2022,SP,4385,848,19.338655
2022,TO,568,211,37.147887
2023,AC,225,68,30.222222
2023,AL,620,236,38.064516
2023,AM,105,38,36.190476
2023,AP,144,46,31.944444
2023,BA,3755,1305,34.753662
2023,CE,1363,486,35.65664
2023,DF,977,210,21.494371
2023,ES,2241,743,33.154842
2023,GO,3136,895,28.539541
2023,MA,1163,553,47.549441
2023,MG,9007,2605,28.92195
2023,MS,1726,536,31.054461
2023,MT,2317,676,29.175658
2023,PA,899,422,46.941046
2023,PB,1564,534,34.143223
2023,PE,3001,1037,34.555148
2023,PI,1273,533,41.869599
2023,PR,7110,1952,27.45429
2023,RJ,5575,1132,20.304933
2023,RN,1367,425,31.089978
2023,RO,1400,416,29.714286
2023,RR,144,57,39.583333
2023,RS,4936,1090,22.082658
2023,SC,7799,1892,24.25952
2023,SE,537,167,31.098696
2023,SP,4754,907,19.078671
2023,TO,628,251,39.968153
2024,AC,287,89,31.010453
2024,AL,712,289,40.589888
2024,AM,169,56,33.136095
2024,AP,159,48,30.188679
2024,BA,4151,1487,35.822693
2024,CE,1500,586,39.066667
2024,DF,1056,188,17.80303
2024,ES,2395,797,33.277662
2024,GO,3305,944,28.562784
2024,MA,1138,571,50.175747
2024,MG,9296,2684,28.872633
2024,MS,1803,543,30.116473
2024,MT,2554,710,27.79953
2024,PA,970,443,45.670103
2024,PB,1920,619,32.239583
2024,PE,3230,1152,35.665635
2024,PI,1520,625,41.118421
2024,PR,7576,1964,25.92397
2024,RJ,6389,1323,20.707466
2024,RN,1606,497,30.946451
2024,RO,1483,437,29.467296
2024,RR,135,62,45.925926
2024,RS,5206,1152,22.128313
2024,SC,8381,1977,23.589071
2024,SE,597,218,36.515913
2024,SP,4883,913,18.697522
2024,TO,735,251,34.14966
2025,AC,280,93,33.214286
2025,AL,629,255,40.540541
2025,AM,138,46,33.333333
2025,AP,169,54,31.952663
2025,BA,4108,1392,33.885102
2025,CE,1302,494,37.941628
2025,DF,1011,198,19.58457
2025,ES,2642,834,31.566995
2025,GO,3196,919,28.754693
2025,MA,1262,580,45.958796
2025,MG,9570,2867,29.958203
2025,MS,1654,484,29.262394
2025,MT,2636,737,27.959029
2025,PA,1117,444,39.749329
2025,PB,1978,672,33.973711
2025,PE,3013,1115,37.006306
2025,PI,1490,604,40.536913
2025,PR,7630,1946,25.504587
2025,RJ,6428,1334,20.752956
2025,RN,1648,496,30.097087
2025,RO,1452,368,25.344353
2025,RR,142,60,42.253521
2025,RS,4899,1081,22.065728
2025,SC,8186,2186,26.704129
2025,SE,589,171,29.032258
2025,SP,4683,836,17.851804
2025,TO,677,227,33.530281
