uf,years_observed,minimum_annual_rate_percent,maximum_annual_rate_percent,range_percentage_points
AC,5,30.222222,36.328125,6.105903
AL,5,35.294118,40.589888,5.29577
AM,5,28.947368,36.190476,7.243108
AP,5,30.188679,35.0,4.811321
BA,5,32.961399,35.822693,2.861294
CE,5,34.595776,39.066667,4.470891
DF,5,17.80303,21.494371,3.691341
ES,5,31.566995,36.0,4.433005
GO,5,28.309769,29.551865,1.242096
MA,5,42.175066,50.175747,8.000681
MG,5,28.872633,29.958203,1.08557
MS,5,29.262394,31.604637,2.342243
MT,5,26.962617,29.417164,2.454547
PA,5,39.749329,46.941046,7.191717
PB,5,32.130465,34.143223,2.012758
PE,5,34.311424,37.006306,2.694882
PI,5,36.698859,41.883408,5.184549
PR,5,25.504587,27.45429,1.949703
RJ,5,20.304933,21.877655,1.572722
RN,5,30.097087,31.217326,1.120239
RO,5,25.344353,29.714286,4.369933
RR,5,27.985075,45.925926,17.940851
RS,5,21.841411,22.780348,0.938937
SC,5,23.589071,26.704129,3.115058
SE,5,29.032258,38.551859,9.519601
SP,5,17.851804,19.338655,1.486851
TO,5,33.530281,39.968153,6.437872
