uf,total_occurrences,severe_occurrences,non_severe_occurrences,severe_rate_percent,dataset_share_percent
AC,1272,420,852,33.018868,0.371252
AL,3136,1225,1911,39.0625,0.915289
AM,619,202,417,32.633279,0.180665
AP,822,267,555,32.481752,0.239913
BA,18779,6494,12285,34.581181,5.480935
CE,7081,2587,4494,36.534388,2.066697
DF,4948,948,4000,19.159256,1.444149
ES,12083,4043,8040,33.460233,3.526606
GO,15940,4582,11358,28.745295,4.65233
MA,5778,2647,3131,45.8117,1.686397
MG,44502,13025,31477,29.268347,12.988582
MS,8464,2575,5889,30.422968,2.470347
MT,11826,3341,8485,28.251311,3.451597
PA,4666,2037,2629,43.656237,1.361843
PB,8379,2776,5603,33.130445,2.445538
PE,14549,5154,9395,35.425115,4.246346
PI,6537,2647,3890,40.492581,1.907922
PR,37055,9850,27205,26.582108,10.815063
RJ,27669,5771,21898,20.857277,8.075616
RN,7248,2228,5020,30.739514,2.115438
RO,7134,2006,5128,28.118867,2.082166
RR,918,332,586,36.165577,0.267932
RS,24511,5434,19077,22.169638,7.153906
SC,39849,9942,29907,24.949183,11.630534
SE,2745,904,1841,32.932605,0.80117
SP,23005,4288,18717,18.639426,6.714357
TO,3109,1132,1977,36.410421,0.907409
