source_year,sentido_via,total_occurrences,severe_occurrences,non_severe_occurrences,severe_rate_percent,year_share_percent
2021,Crescente,33916,9654,24262,28.464442,52.528381
2021,Decrescente,30480,8439,22041,27.687008,47.206777
2021,Não Informado,171,25,146,14.619883,0.264841
2022,Crescente,34787,10105,24682,29.048208,53.844844
2022,Decrescente,29620,8289,21331,27.98447,45.847135
2022,Não Informado,199,15,184,7.537688,0.308021
2023,Crescente,36710,10550,26160,28.738763,54.171709
2023,Decrescente,30896,8646,22250,27.984205,45.592185
2023,Não Informado,160,16,144,10.0,0.236107
2024,Crescente,39281,11394,27887,29.00639,53.694844
2024,Decrescente,33689,9219,24470,27.365015,46.050905
2024,Não Informado,186,12,174,6.451613,0.254251
2025,Crescente,38715,11310,27405,29.213483,53.378649
2025,Decrescente,33647,9170,24477,27.253544,46.391099
2025,Não Informado,167,13,154,7.784431,0.230253
