source_year,uso_solo,total_occurrences,severe_occurrences,non_severe_occurrences,severe_rate_percent,year_share_percent
2021,Não,35827,10670,25157,29.782008,55.488098
2021,Sim,28740,7448,21292,25.915101,44.511902
2022,Não,35884,10783,25101,30.049604,55.542829
2022,Sim,28722,7626,21096,26.551076,44.457171
2023,Não,39321,11739,27582,29.854276,58.024673
2023,Sim,28445,7473,20972,26.271753,41.975327
2024,Não,41705,12404,29301,29.742237,57.008311
2024,Sim,31451,8221,23230,26.139073,42.991689
2025,Não,41444,12304,29140,29.688254,57.141281
2025,Sim,31085,8189,22896,26.343896,42.858719
