source_year,road_layout_component,total_occurrences,severe_occurrences,non_severe_occurrences,severe_rate_percent,occurrences_containing_component_percent
2021,Reta,43109,12239,30870,28.390823,66.766305
2021,Curva,11918,3371,8547,28.284947,18.458346
2021,Declive,4574,1430,3144,31.263664,7.084114
2021,Interseção de Vias,3668,991,2677,27.017448,5.680921
2021,Aclive,3623,1100,2523,30.361579,5.611226
2021,Rotatória,1395,274,1121,19.641577,2.160546
2021,Retorno Regulamentado,1140,290,850,25.438596,1.765608
2021,Em Obras,781,231,550,29.577465,1.209596
2021,Viaduto,752,189,563,25.132979,1.164682
2021,Ponte,546,187,359,34.249084,0.845633
2021,Desvio Temporário,218,67,151,30.733945,0.337634
2021,Túnel,28,5,23,17.857143,0.043366
2022,Reta,43870,12823,31047,29.229542,67.90391
2022,Curva,11483,3186,8297,27.745363,17.773891
2022,Declive,4816,1560,3256,32.392027,7.454416
2022,Interseção de Vias,3892,1084,2808,27.852004,6.024208
2022,Aclive,3849,1161,2688,30.163679,5.957651
2022,Rotatória,1482,296,1186,19.973009,2.293905
2022,Retorno Regulamentado,1209,306,903,25.310174,1.871343
2022,Em Obras,827,264,563,31.922612,1.280067
2022,Viaduto,811,206,605,25.40074,1.255301
2022,Ponte,593,181,412,30.522766,0.917871
2022,Desvio Temporário,247,78,169,31.578947,0.382317
2022,Túnel,37,9,28,24.324324,0.05727
2023,Reta,48847,14242,34605,29.156345,72.08187
2023,Curva,12609,3463,9146,27.464509,18.606676
2023,Declive,7456,2265,5191,30.378219,11.002568
2023,Aclive,5509,1587,3922,28.807406,8.129445
2023,Interseção de Vias,4720,1268,3452,26.864407,6.965145
2023,Rotatória,1694,327,1367,19.303424,2.499779
2023,Retorno Regulamentado,1677,415,1262,24.746571,2.474692
2023,Em Obras,1549,461,1088,29.761136,2.285807
2023,Viaduto,1176,270,906,22.959184,1.735384
2023,Ponte,758,264,494,34.828496,1.118555
2023,Desvio Temporário,301,88,213,29.23588,0.444176
2023,Túnel,42,9,33,21.428571,0.061978
2024,Reta,53029,15240,37789,28.738992,72.487561
2024,Curva,13605,3785,9820,27.820654,18.597244
2024,Declive,7977,2524,5453,31.640968,10.904095
2024,Aclive,6047,1758,4289,29.072267,8.265898
2024,Interseção de Vias,5199,1397,3802,26.870552,7.106731
2024,Rotatória,1922,402,1520,20.915713,2.627262
2024,Retorno Regulamentado,1910,515,1395,26.963351,2.610859
2024,Em Obras,1767,507,1260,28.692699,2.415386
2024,Viaduto,1208,288,920,23.84106,1.651266
2024,Ponte,823,246,577,29.890644,1.124993
2024,Desvio Temporário,322,76,246,23.602484,0.440155
2024,Túnel,41,7,34,17.073171,0.056045
2025,Reta,53014,15183,37831,28.639605,73.093521
2025,Curva,13140,3792,9348,28.858447,18.116891
2025,Declive,7912,2483,5429,31.38271,10.90874
2025,Aclive,6057,1861,4196,30.724781,8.351142
2025,Interseção de Vias,5323,1462,3861,27.465715,7.339133
2025,Rotatória,1929,386,1543,20.010368,2.659626
2025,Retorno Regulamentado,1894,492,1402,25.976769,2.611369
2025,Em Obras,1732,479,1253,27.655889,2.38801
2025,Viaduto,1263,280,983,22.169438,1.741372
2025,Ponte,820,246,574,30.0,1.130582
2025,Desvio Temporário,379,101,278,26.649077,0.52255
2025,Túnel,42,16,26,38.095238,0.057908
