road_layout_component,total_occurrences,severe_occurrences,non_severe_occurrences,severe_rate_percent,occurrences_containing_component_percent
Reta,241869,69727,172142,28.828415,70.593128
Curva,62755,17597,45158,28.040794,18.315997
Declive,32735,10262,22473,31.348709,9.554205
Aclive,25085,7467,17618,29.766793,7.321437
Interseção de Vias,22802,6202,16600,27.199368,6.655109
Rotatória,8422,1685,6737,20.007124,2.458088
Retorno Regulamentado,7830,2018,5812,25.772669,2.285304
Em Obras,6656,1942,4714,29.176683,1.942654
Viaduto,5210,1233,3977,23.666027,1.520617
Ponte,3540,1124,2416,31.751412,1.033203
Desvio Temporário,1467,410,1057,27.948194,0.428166
Túnel,190,46,144,24.210526,0.055454
