source_year,tipo_pista,total_occurrences,severe_occurrences,non_severe_occurrences,severe_rate_percent,year_share_percent
2021,Simples,31819,10564,21255,33.200289,49.280592
2021,Dupla,27243,6366,20877,23.367471,42.193381
2021,Múltipla,5505,1188,4317,21.580381,8.526027
2022,Simples,31998,10824,21174,33.827114,49.527908
2022,Dupla,26819,6294,20525,23.468437,41.511624
2022,Múltipla,5789,1291,4498,22.300916,8.960468
2023,Simples,33361,11348,22013,34.015767,49.229702
2023,Dupla,28011,6463,21548,23.073078,41.334888
2023,Múltipla,6394,1401,4993,21.911167,9.43541
2024,Simples,35287,12024,23263,34.074872,48.235278
2024,Dupla,30730,7068,23662,23.000325,42.006124
2024,Múltipla,7139,1533,5606,21.473596,9.758598
2025,Simples,34733,11605,23128,33.412029,47.888431
2025,Dupla,30782,7338,23444,23.838607,42.440955
2025,Múltipla,7014,1550,5464,22.09866,9.670615
