source_year,condicao_metereologica,total_occurrences,severe_occurrences,non_severe_occurrences,severe_rate_percent,year_share_percent
2021,Chuva,6713,1680,5033,25.026069,10.396952
2021,Céu Claro,38995,11336,27659,29.070394,60.394629
2021,Garoa/Chuvisco,2148,453,1695,21.089385,3.326777
2021,Granizo,2,0,2,0.0,0.003098
2021,Ignorado,817,285,532,34.883721,1.265352
2021,Neve,3,1,2,33.333333,0.004646
2021,Nevoeiro/Neblina,488,142,346,29.098361,0.755804
2021,Nublado,10960,3026,7934,27.609489,16.974616
2021,Sol,4297,1144,3153,26.623226,6.655102
2021,Vento,144,51,93,35.416667,0.223024
2022,Chuva,7126,1717,5409,24.094864,11.029935
2022,Céu Claro,39222,11635,27587,29.664474,60.709532
2022,Garoa/Chuvisco,2427,588,1839,24.227441,3.756617
2022,Granizo,3,0,3,0.0,0.004644
2022,Ignorado,903,335,568,37.09856,1.397703
2022,Neve,2,0,2,0.0,0.003096
2022,Nevoeiro/Neblina,556,176,380,31.654676,0.860601
2022,Nublado,10459,2920,7539,27.918539,16.188899
2022,Sol,3787,998,2789,26.353314,5.861685
2022,Vento,121,40,81,33.057851,0.187289
2023,Chuva,6699,1585,5114,23.660248,9.885488
2023,Céu Claro,43149,12781,30368,29.620617,63.673524
2023,Garoa/Chuvisco,2345,502,1843,21.407249,3.460437
2023,Granizo,4,0,4,0.0,0.005903
2023,Ignorado,854,306,548,35.831382,1.260219
2023,Neve,1,0,1,0.0,0.001476
2023,Nevoeiro/Neblina,584,198,386,33.90411,0.861789
2023,Nublado,10127,2768,7359,27.332873,14.944072
2023,Sol,3898,1041,2857,26.706003,5.752147
2023,Vento,105,31,74,29.52381,0.154945
2024,Chuva,7420,1778,5642,23.962264,10.142709
2024,Céu Claro,46271,13606,32665,29.405027,63.249768
2024,Garoa/Chuvisco,2776,577,2199,20.785303,3.794631
2024,Granizo,2,1,1,50.0,0.002734
2024,Ignorado,918,323,595,35.185185,1.254853
2024,Neve,1,0,1,0.0,0.001367
2024,Nevoeiro/Neblina,657,197,460,29.984779,0.898081
2024,Nublado,11033,3026,8007,27.42681,15.08147
2024,Sol,3959,1082,2877,27.330134,5.411723
2024,Vento,119,35,84,29.411765,0.162666
2025,Chuva,6438,1525,4913,23.687481,8.876449
2025,Céu Claro,46375,13509,32866,29.129919,63.939941
2025,Garoa/Chuvisco,2422,578,1844,23.864575,3.339354
2025,Ignorado,1000,303,697,30.3,1.378759
2025,Neve,1,0,1,0.0,0.001379
2025,Nevoeiro/Neblina,553,181,372,32.730561,0.762454
2025,Nublado,11435,3231,8204,28.255356,15.766107
2025,Sol,4201,1137,3064,27.064985,5.792166
2025,Vento,104,29,75,27.884615,0.143391
