condicao_metereologica,total_occurrences,severe_occurrences,non_severe_occurrences,severe_rate_percent,dataset_share_percent
Chuva,34396,8285,26111,24.087103,10.038993
Céu Claro,214012,62867,151145,29.375456,62.462641
Garoa/Chuvisco,12118,2698,9420,22.2644,3.536822
Granizo,11,1,10,9.090909,0.003211
Ignorado,4492,1552,2940,34.550312,1.311058
Neve,8,1,7,12.5,0.002335
Nevoeiro/Neblina,2838,894,1944,31.501057,0.828313
Nublado,54014,14971,39043,27.716888,15.764803
Sol,20142,5402,14740,26.819581,5.878748
Vento,593,186,407,31.365936,0.173076
