tipo_acidente,total_occurrences,severe_occurrences,non_severe_occurrences,severe_rate_percent,dataset_share_percent
Colisão traseira,65634,15538,50096,23.673706,19.156276
Saída de leito carroçável,52394,11565,40829,22.073138,15.291982
Colisão transversal,43190,14238,28952,32.965964,12.605655
Colisão lateral mesmo sentido,34602,6901,27701,19.943934,10.099117
Tombamento,29582,6916,22666,23.379082,8.633954
Colisão com objeto,24761,5216,19545,21.065385,7.226873
Colisão frontal,23045,14532,8513,63.059232,6.726032
Atropelamento de Pedestre,15313,10416,4897,68.020636,4.469331
Queda de ocupante de veículo,15251,3614,11637,23.696807,4.451235
Colisão lateral sentido oposto,9582,3399,6183,35.472761,2.796652
Capotamento,7661,1572,6089,20.519514,2.235979
Incêndio,7430,23,7407,0.309556,2.168558
Engavetamento,5780,738,5042,12.768166,1.68698
Atropelamento de Animal,5598,1609,3989,28.742408,1.633861
Eventos atípicos,1477,368,1109,24.915369,0.431085
Colisão lateral,676,134,542,19.822485,0.197301
Derramamento de carga,629,67,562,10.651828,0.183583
Sinistro pessoal de trânsito,19,11,8,57.894737,0.005545
