dimension,category,years_observed,total_occurrences,minimum_annual_rate_percent,maximum_annual_rate_percent,range_percentage_points,priority_for_narrative
accident_type,Atropelamento de Animal,5,5598,25.836576,31.25,5.413424,true
accident_type,Atropelamento de Pedestre,5,15313,67.157344,68.771708,1.614364,true
accident_type,Capotamento,5,7661,19.641715,21.061644,1.419929,true
accident_type,Colisão com objeto,5,24761,20.61293,21.608925,0.995995,true
accident_type,Colisão frontal,5,23045,62.278481,63.533525,1.255044,true
accident_type,Colisão lateral mesmo sentido,5,34602,19.298912,20.782484,1.483572,true
accident_type,Colisão lateral sentido oposto,5,9582,32.957746,37.360595,4.402849,true
accident_type,Colisão transversal,5,43190,32.647842,33.628871,0.981029,true
accident_type,Colisão traseira,5,65634,22.923264,24.519499,1.596235,true
accident_type,Derramamento de carga,5,629,5.454545,14.018692,8.564147,true
accident_type,Engavetamento,5,5780,10.436433,15.767974,5.331541,true
accident_type,Eventos atípicos,5,1477,23.220974,28.093645,4.872671,true
accident_type,Incêndio,5,7430,0.112931,0.478469,0.365538,true
accident_type,Queda de ocupante de veículo,5,15251,21.826087,25.289129,3.463042,true
accident_type,Saída de leito carroçável,5,52394,21.640344,22.401802,0.761458,true
accident_type,Tombamento,5,29582,21.596413,24.122807,2.526394,true
cause,Acessar a via sem observar a presença dos outros veículos,5,31168,32.351698,33.398927,1.047229,true
cause,Acesso irregular,5,3519,30.181818,37.1669,6.985082,true
cause,Acostamento em desnível,5,890,17.44186,24.705882,7.264022,true
cause,Acumulo de areia ou detritos sobre o pavimento,5,1344,17.532468,23.104693,5.572225,true
cause,Acumulo de água sobre o pavimento,5,2809,15.09434,18.867925,3.773585,true
cause,Acumulo de óleo sobre o pavimento,5,987,10.638298,21.604938,10.96664,true
cause,Afundamento ou ondulação no pavimento,5,933,22.485207,32.022472,9.537265,true
cause,Animais na Pista,5,6590,25.06812,28.963893,3.895773,true
cause,Ausência de reação do condutor,5,44630,25.992589,27.134013,1.141424,true
cause,Ausência de sinalização,5,997,29.775281,36.144578,6.369297,true
cause,Avarias e/ou desgaste excessivo no pneu,5,6114,17.436306,20.357751,2.921445,true
cause,Carga excessiva e/ou mal acondicionada,5,1400,9.84252,18.794326,8.951806,true
cause,Chuva,5,5637,18.689956,21.265378,2.575422,true
cause,Condutor Dormindo,5,10822,26.544944,29.13085,2.585906,true
