source_year,causa_acidente,total_occurrences,severe_occurrences,severe_rate_percent
2021,Reação tardia ou ineficiente do condutor,6909,1718,24.866117
2021,Velocidade Incompatível,6742,2065,30.628894
2021,Ausência de reação do condutor,5615,1468,26.144256
2021,Acessar a via sem observar a presença dos outros veículos,5198,1705,32.801077
2021,Condutor deixou de manter distância do veículo da frente,5120,890,17.382812
2021,Ingestão de álcool pelo condutor,4589,898,19.568533
2021,Manobra de mudança de faixa,3719,930,25.006722
2021,Demais falhas mecânicas ou elétricas,2726,329,12.068966
2021,Condutor Dormindo,2311,626,27.087841
2021,Transitar na contramão,1781,1074,60.3032
2021,Desrespeitar a preferência no cruzamento,1749,510,29.15952
2021,Ultrapassagem Indevida,1649,752,45.603396
2021,Chuva,1286,268,20.839813
2021,Avarias e/ou desgaste excessivo no pneu,1256,219,17.436306
2021,Animais na Pista,1214,338,27.841845
2021,Conversão proibida,874,313,35.812357
2021,Trafegar com motocicleta (ou similar) entre as faixas,820,215,26.219512
2021,Pedestre andava na pista,701,522,74.46505
2021,Pista Escorregadia,680,137,20.147059
2021,Mal súbito do condutor,632,210,33.227848
2021,Pedestre cruzava a pista fora da faixa,595,397,66.722689
2021,Entrada inopinada do pedestre,577,408,70.710572
2021,Acumulo de água sobre o pavimento,573,94,16.404887
2021,Acesso irregular,550,166,30.181818
2021,Frear bruscamente,452,62,13.716814
2021,Transitar no acostamento,446,192,43.049327
2021,Objeto estático sobre o leito carroçável,379,92,24.274406
2021,Problema com o freio,360,88,24.444444
2021,Pista esburacada,349,99,28.366762
2021,Curva acentuada,325,79,24.307692
2021,Condutor desrespeitou a iluminação vermelha do semáforo,319,81,25.39185
2021,Carga excessiva e/ou mal acondicionada,313,35,11.182109
2021,Retorno proibido,301,110,36.54485
2021,Ingestão de álcool e/ou substâncias psicoativas pelo pedestre,297,91,30.639731
2021,Acumulo de areia ou detritos sobre o pavimento,252,48,19.047619
2021,Demais falhas na via,224,51,22.767857
2021,Acostamento em desnível,205,46,22.439024
2021,Ausência de sinalização,189,68,35.978836
2021,Deficiência do Sistema de Iluminação/Sinalização,183,88,48.087432
2021,Afundamento ou ondulação no pavimento,181,43,23.756906
2021,Iluminação deficiente,161,76,47.204969
2021,Acumulo de óleo sobre o pavimento,161,24,14.906832
