causa_acidente,total_occurrences,severe_occurrences,severe_rate_percent
Pedestre andava na pista,3262,2460,75.413857
Entrada inopinada do pedestre,3326,2286,68.731209
Pedestre cruzava a pista fora da faixa,2867,1906,66.480642
Transitar na contramão,11145,6713,60.233288
Ultrapassagem Indevida,8333,3852,46.225849
Iluminação deficiente,793,362,45.649433
Transitar no acostamento,823,363,44.106926
Deficiência do Sistema de Iluminação/Sinalização,885,378,42.711864
Transitar no Acostamento,1257,534,42.4821
Conversão proibida,4565,1610,35.268346
Estacionar ou parar em local proibido,839,290,34.564958
Retorno proibido,1604,541,33.72818
Acesso irregular,3519,1184,33.645922
Ausência de sinalização,997,330,33.099298
Acessar a via sem observar a presença dos outros veículos,31168,10244,32.867043
