causa_acidente,total_occurrences,severe_occurrences,severe_rate_percent
Reação tardia ou ineficiente do condutor,46901,11223,23.929127
Ausência de reação do condutor,44630,11912,26.690567
Acessar a via sem observar a presença dos outros veículos,31168,10244,32.867043
Velocidade Incompatível,24420,7547,30.904996
Condutor deixou de manter distância do veículo da frente,22601,4080,18.052299
Ingestão de álcool pelo condutor,20077,4172,20.779997
Manobra de mudança de faixa,19442,4608,23.701265
Demais falhas mecânicas ou elétricas,15126,1724,11.397594
Transitar na contramão,11145,6713,60.233288
Condutor Dormindo,10822,2951,27.268527
Ultrapassagem Indevida,8333,3852,46.225849
Desrespeitar a preferência no cruzamento,7139,2009,28.141196
Animais na Pista,6590,1799,27.298938
Avarias e/ou desgaste excessivo no pneu,6114,1143,18.694799
Chuva,5637,1137,20.170303
