pessoas,total_occurrences,severe_occurrences,non_severe_occurrences,severe_rate_percent,dataset_share_percent
1,74795,14048,60747,18.782004,21.830053
2,138590,37605,100985,27.133992,40.449589
3,69722,22858,46864,32.784487,20.349421
4,29987,10467,19520,34.905126,8.75216
5,14656,5435,9221,37.083788,4.277575
6,6925,2746,4179,39.65343,2.021166
7,3345,1432,1913,42.810164,0.976289
8,1611,711,900,44.134078,0.470195
9,875,429,446,49.028571,0.255382
10,454,216,238,47.577093,0.132507
11,296,154,142,52.027027,0.086392
12,193,82,111,42.487047,0.05633
13,139,78,61,56.115108,0.040569
14,106,60,46,56.603774,0.030938
15,81,38,43,46.91358,0.023641
16,68,34,34,50.0,0.019847
17,51,31,20,60.784314,0.014885
18,41,18,23,43.902439,0.011966
19,37,19,18,51.351351,0.010799
20,40,24,16,60.0,0.011675
21,30,19,11,63.333333,0.008756
22,35,23,12,65.714286,0.010215
23,21,13,8,61.904762,0.006129
24,28,15,13,53.571429,0.008172
25,18,10,8,55.555556,0.005254
26,22,15,7,68.181818,0.006421
27,19,11,8,57.894737,0.005545
28,20,10,10,50.0,0.005837
29,23,16,7,69.565217,0.006713
30,12,5,7,41.666667,0.003502
31,17,9,8,52.941176,0.004962
32,20,15,5,75.0,0.005837
33,22,17,5,77.272727,0.006421
34,6,4,2,66.666667,0.001751
35,14,6,8,42.857143,0.004086
36,14,7,7,50.0,0.004086
37,15,8,7,53.333333,0.004378
38,13,7,6,53.846154,0.003794
39,15,11,4,73.333333,0.004378
40,17,12,5,70.588235,0.004962
41,13,8,5,61.538462,0.003794
42,18,10,8,55.555556,0.005254
43,14,8,6,57.142857,0.004086
44,13,7,6,53.846154,0.003794
45,20,12,8,60.0,0.005837
46,9,4,5,44.444444,0.002627
47,14,11,3,78.571429,0.004086
48,11,8,3,72.727273,0.003211
49,13,6,7,46.153846,0.003794
50,14,6,8,42.857143,0.004086
51,11,6,5,54.545455,0.003211
52,12,8,4,66.666667,0.003502
53,10,5,5,50.0,0.002919
54,7,6,1,85.714286,0.002043
55,6,4,2,66.666667,0.001751
56,2,1,1,50.0,0.000584
57,6,2,4,33.333333,0.001751
58,6,4,2,66.666667,0.001751
59,4,2,2,50.0,0.001167
60,3,2,1,66.666667,0.000876
61,2,2,0,100.0,0.000584
62,2,1,1,50.0,0.000584
63,3,2,1,66.666667,0.000876
65,3,2,1,66.666667,0.000876
66,1,0,1,0.0,0.000292
68,1,1,0,100.0,0.000292
69,3,2,1,66.666667,0.000876
70,2,2,0,100.0,0.000584
71,1,0,1,0.0,0.000292
73,2,2,0,100.0,0.000584
75,1,1,0,100.0,0.000292
76,1,1,0,100.0,0.000292
80,1,1,0,100.0,0.000292
93,1,1,0,100.0,0.000292
95,1,1,0,100.0,0.000292
