veiculos,total_occurrences,severe_occurrences,non_severe_occurrences,severe_rate_percent,dataset_share_percent
1,114757,23493,91264,20.471954,33.493567
2,162529,50294,112235,30.944631,47.436549
3,40777,13798,26979,33.837703,11.901385
4,14515,5199,9316,35.818119,4.236422
5,5767,2326,3441,40.332929,1.683186
6,2049,800,1249,39.043436,0.598032
7,1000,399,601,39.9,0.291865
8,491,205,286,41.751527,0.143306
9,254,113,141,44.488189,0.074134
10,154,75,79,48.701299,0.044947
11,90,51,39,56.666667,0.026268
12,72,31,41,43.055556,0.021014
13,69,20,49,28.985507,0.020139
14,39,18,21,46.153846,0.011383
15,21,10,11,47.619048,0.006129
16,13,10,3,76.923077,0.003794
17,8,2,6,25.0,0.002335
18,4,2,2,50.0,0.001167
19,2,2,0,100.0,0.000584
20,3,0,3,0.0,0.000876
21,1,1,0,100.0,0.000292
22,1,1,0,100.0,0.000292
23,1,1,0,100.0,0.000292
24,1,1,0,100.0,0.000292
25,1,1,0,100.0,0.000292
26,1,1,0,100.0,0.000292
28,1,1,0,100.0,0.000292
31,1,1,0,100.0,0.000292
82,1,0,1,0.0,0.000292
131,1,1,0,100.0,0.000292
