dimension,category_or_comparison,focal_category,total_occurrences,severe_rate_percent,reference_category_or_rate,reference_total_occurrences,reference_rate_percent,absolute_difference_percentage_points,years_observed,annual_minimum_rate_percent,annual_maximum_rate_percent,annual_range_percentage_points,sample_size_flag,temporal_consistency_note,semantic_quality_note,leakage_concern,modeling_eligibility_status,scientific_priority,scientific_interpretation,substantive_evidence
target_global,maior taxa anual vs menor taxa anual,maior taxa anual,342624,28.494257,menor taxa anual,,28.060774,0.433483,5,28.060774,28.494257,0.433483,dataset_completo,Taxa global anual observada em 5 anos; amplitude de 0.43 p.p.,Contexto do target; não é feature explicativa.,O target não pode ser usado como preditor.,,contextual,A prevalência anual do target teve baixa amplitude descritiva.,true
month_name,Maio vs Fevereiro,Maio,28914,29.030919,Fevereiro,25166,27.290789,1.74013,5,28.04223,29.855643,1.813413,adequada_n_ge_500,Observada em 5 anos; amplitude anual de 1.81 p.p.,Mês derivado em memória; contraste descritivo sazonal.,Sem contaminação direta identificada.,candidata,secundário,Contraste entre maior e menor proporção mensal observada.,true
weekday_group,Fim de semana vs Dias úteis,Fim de semana,112389,30.192457,Dias úteis,230235,27.330336,2.862121,5,29.702335,30.691166,0.988831,adequada_n_ge_500,Observada em 5 anos; amplitude anual de 0.99 p.p.,Agrupamento calendário explícito de sábado/domingo versus demais dias.,Sem contaminação direta identificada.,,central,Fim de semana apresentou proporção grave superior nos registros.,true
hour,19 vs 8,19,22222,33.732337,8,17194,23.124346,10.607991,5,32.586605,35.145631,2.559026,adequada_n_ge_500,Observada em 5 anos; amplitude anual de 2.56 p.p.,Hora derivada em memória do horário registrado.,Sem contaminação direta identificada.,candidata,secundário,Contraste entre horários de maior e menor proporção observada.,true
fase_dia,Plena Noite vs Pleno dia,Plena Noite,119581,32.47255,Pleno dia,187621,25.304737,7.167813,5,31.925756,33.212225,1.286469,adequada_n_ge_500,Observada em 5 anos; amplitude anual de 1.29 p.p.,Categorias originais preservadas.,Sem contaminação direta identificada.,candidata,central,Plena Noite apresentou proporção grave superior de forma recorrente.,true
macroregion,Nordeste vs Sul,Nordeste,74232,35.917125,Sul,101415,24.874032,11.043093,5,34.508705,36.912178,2.403473,adequada_n_ge_500,Observada em 5 anos; amplitude anual de 2.40 p.p.,Macrorregião derivada de UF; sem denominador de exposição.,Sem contaminação direta identificada.,,central,Heterogeneidade geográfica descritiva entre extremos observados.,true
uf,MA vs SP,MA,5778,45.8117,SP,23005,18.639426,27.172274,5,42.175066,50.175747,8.000681,adequada_n_ge_500,Observada em 5 anos; amplitude anual de 8.00 p.p.,Contexto estadual; não classifica segurança ou exposição.,Sem contaminação direta identificada.,candidata,contextual,Heterogeneidade estadual descritiva entre extremos observados.,true
tipo_pista,Simples vs Dupla,Simples,167198,33.711528,Dupla,143585,23.351325,10.360203,5,33.200289,34.074872,0.874583,adequada_n_ge_500,Observada em 5 anos; amplitude anual de 0.87 p.p.,Categorias originais da via; sem exposição rodoviária.,Sem contaminação direta identificada.,candidata,central,Pista Simples apresentou maior proporção grave no período.,true
tipo_pista,Simples vs Múltipla,Simples,167198,33.711528,Múltipla,31841,21.868032,11.843496,5,33.200289,34.074872,0.874583,adequada_n_ge_500,Observada em 5 anos; amplitude anual de 0.87 p.p.,Categorias originais da via; sem exposição rodoviária.,Sem contaminação direta identificada.,candidata,secundário,Pista Simples apresentou maior proporção grave no período.,true
uso_solo,Não vs Sim,Não,194181,29.817541,Sim,148443,26.243743,3.573798,5,29.688254,30.049604,0.36135,adequada_n_ge_500,Observada em 5 anos; amplitude anual de 0.36 p.p.,Campo da PRF; não reinterpretado automaticamente como rural/urbano.,Sem contaminação direta identificada.,candidata,secundário,Contraste descritivo entre as duas categorias registradas.,true
