variable,source_or_derivation,modeling_eligibility_status,rationale,leakage_concern,availability_timing,taxonomy_or_quality_note,requires_temporal_drift_check
data_inversa,interim,candidata,Dimensão temporal disponível e reproduzível.,Sem contaminação direta do target identificada nesta fase.,Disponível no registro da ocorrência; confirmar momento operacional.,Sem observação adicional nesta fase.,true
month_name,derivada de data_inversa,candidata,Dimensão temporal disponível e reproduzível.,Sem contaminação direta do target identificada nesta fase.,Disponível no registro da ocorrência; confirmar momento operacional.,Sem observação adicional nesta fase.,true
dia_semana,interim,candidata,Dimensão temporal disponível e reproduzível.,Sem contaminação direta do target identificada nesta fase.,Disponível no registro da ocorrência; confirmar momento operacional.,Sem observação adicional nesta fase.,true
horario,interim,candidata,Dimensão temporal disponível e reproduzível.,Sem contaminação direta do target identificada nesta fase.,Disponível no registro da ocorrência; confirmar momento operacional.,Sem observação adicional nesta fase.,true
hour,derivada de horario,candidata,Dimensão temporal disponível e reproduzível.,Sem contaminação direta do target identificada nesta fase.,Disponível no registro da ocorrência; confirmar momento operacional.,Sem observação adicional nesta fase.,true
fase_dia,interim,candidata,Dimensão temporal disponível e reproduzível.,Sem contaminação direta do target identificada nesta fase.,Disponível no registro da ocorrência; confirmar momento operacional.,Sem observação adicional nesta fase.,true
uf,interim,candidata,Contexto geográfico/rodoviário do registro.,Sem contaminação direta do target identificada nesta fase.,Disponível no registro da ocorrência; confirmar momento operacional.,Sem observação adicional nesta fase.,true
br,interim,candidata,Contexto geográfico/rodoviário do registro.,Sem contaminação direta do target identificada nesta fase.,Disponível no registro da ocorrência; confirmar momento operacional.,Sem observação adicional nesta fase.,true
km,interim,candidata,Contexto geográfico/rodoviário do registro.,Sem contaminação direta do target identificada nesta fase.,Disponível no registro da ocorrência; confirmar momento operacional.,Sem observação adicional nesta fase.,true
municipio,interim,candidata_com_cautela,Contexto geográfico com alta granularidade ou sensibilidade à generalização.,Sem contaminação direta do target identificada nesta fase.,Disponível no registro da ocorrência; confirmar momento operacional.,Sem observação adicional nesta fase.,true
latitude,interim,candidata_com_cautela,Contexto geográfico com alta granularidade ou sensibilidade à generalização.,Sem contaminação direta do target identificada nesta fase.,Disponível no registro da ocorrência; confirmar momento operacional.,Sem observação adicional nesta fase.,true
longitude,interim,candidata_com_cautela,Contexto geográfico com alta granularidade ou sensibilidade à generalização.,Sem contaminação direta do target identificada nesta fase.,Disponível no registro da ocorrência; confirmar momento operacional.,Sem observação adicional nesta fase.,true
sentido_via,interim,candidata,Contexto de via ou ambiente.,Sem contaminação direta do target identificada nesta fase.,Disponível no registro da ocorrência; confirmar momento operacional.,"Preservar Não Informado como qualidade, não evidência substantiva.",true
condicao_metereologica,interim,candidata,Contexto de via ou ambiente.,Sem contaminação direta do target identificada nesta fase.,Disponível no registro da ocorrência; confirmar momento operacional.,"Preservar Ignorado como qualidade, não condição observada.",true
tipo_pista,interim,candidata,Contexto de via ou ambiente.,Sem contaminação direta do target identificada nesta fase.,Disponível no registro da ocorrência; confirmar momento operacional.,Sem observação adicional nesta fase.,true
uso_solo,interim,candidata,Contexto de via ou ambiente.,Sem contaminação direta do target identificada nesta fase.,Disponível no registro da ocorrência; confirmar momento operacional.,Sem observação adicional nesta fase.,true
tracado_via,interim,candidata_com_cautela,Campo multivalorado cuja representação futura ainda precisa ser decidida.,Sem contaminação direta do target identificada nesta fase.,Disponível no registro da ocorrência; confirmar momento operacional.,Alta cardinalidade aparente pelas combinações; não tratar ingenuamente como 1.214 categorias independentes.,true
tracado_via_components,derivada em memória de tracado_via,candidata_com_cautela,Componentes multivalorados exigem representação futura documentada.,Sem contaminação direta do target identificada nesta fase.,Disponível no registro da ocorrência; confirmar momento operacional.,Contagens por componente não são mutuamente exclusivas.,true
tipo_acidente,interim,requer_decisao_metodologica,Válida para EDA; uso preditivo depende de disponibilidade temporal.,Possível conhecimento durante ou após a ocorrência.,Pode ser definida ou consolidada após a ocorrência.,Taxonomia variou: união de 18 categorias; 16 presentes nos cinco anos.,true
causa_acidente,interim,requer_decisao_metodologica,Válida para EDA; uso preditivo depende de disponibilidade temporal.,Possível conhecimento durante ou após a ocorrência.,Pode ser definida ou consolidada após a ocorrência.,Taxonomia variou: união de 76 categorias; 65 presentes nos cinco anos.,true
pessoas,interim,requer_decisao_metodologica,Associação parcialmente mecânica com a definição do target no nível da ocorrência.,Mais pessoas oferecem mais oportunidades para ao menos um morto ou ferido grave.,Pode ser consolidada durante ou após a ocorrência.,Há divergências conhecidas na decomposição de pessoas.,true
veiculos,interim,requer_decisao_metodologica,Válida para EDA; disponibilidade no momento preditivo precisa ser definida.,Possível conhecimento durante ou após a ocorrência.,Pode ser consolidada durante ou após a ocorrência.,Sem observação adicional nesta fase.,true
regional,interim,excluir_administrativa,Proxy administrativo excluído inicialmente da modelagem.,Sem contaminação direta do target identificada nesta fase.,Campo administrativo do registro.,Sem observação adicional nesta fase.,false
delegacia,interim,excluir_administrativa,Proxy administrativo excluído inicialmente da modelagem.,Sem contaminação direta do target identificada nesta fase.,Campo administrativo do registro.,Sem observação adicional nesta fase.,false
