variable,source_year,non_null_occurrences,parseable_occurrences,distinct_values,covered_months,missing_months,minimum_value,maximum_value,derivation_consistent_occurrences,top_category,top_category_occurrences,top_category_share_percent
br,2021,64567,,114,,,,,,101,11186,17.324639522
br,2022,64606,,117,,,,,,101,10758,16.651704176
br,2023,67766,,119,,,,,,101,11634,17.167901307
br,2024,73156,,113,,,,,,101,12778,17.466783312
br,2025,72529,,115,,,,,,101,13014,17.943167561
causa_acidente,2021,64567,,71,,,,,,Reação tardia ou ineficiente do condutor,6909,10.700512646
causa_acidente,2022,64606,,71,,,,,,Reação tardia ou ineficiente do condutor,8418,13.029749559
causa_acidente,2023,67766,,75,,,,,,Reação tardia ou ineficiente do condutor,9855,14.542691025
causa_acidente,2024,73156,,69,,,,,,Reação tardia ou ineficiente do condutor,10920,14.927005304
causa_acidente,2025,72529,,69,,,,,,Ausência de reação do condutor,11469,15.812985151
condicao_metereologica,2021,64567,,10,,,,,,Céu Claro,38995,60.394628835
condicao_metereologica,2022,64606,,10,,,,,,Céu Claro,39222,60.709531622
condicao_metereologica,2023,67766,,10,,,,,,Céu Claro,43149,63.673523596
condicao_metereologica,2024,73156,,10,,,,,,Céu Claro,46271,63.24976762
condicao_metereologica,2025,72529,,9,,,,,,Céu Claro,46375,63.939941265
data_inversa,2021,64567,64567,365,12,"",2021-01-01,2021-12-31,64567,,,
data_inversa,2022,64606,64606,365,12,"",2022-01-01,2022-12-31,64606,,,
data_inversa,2023,67766,67766,365,12,"",2023-01-01,2023-12-31,67766,,,
data_inversa,2024,73156,73156,366,12,"",2024-01-01,2024-12-31,73156,,,
data_inversa,2025,72529,72529,365,12,"",2025-01-01,2025-12-31,72529,,,
dia_semana,2021,64567,,7,,,,,,sábado,10874,16.84142054
dia_semana,2022,64606,,7,,,,,,domingo,10978,16.992229824
dia_semana,2023,67766,,7,,,,,,domingo,11265,16.623380456
dia_semana,2024,73156,,7,,,,,,domingo,11741,16.049264585
dia_semana,2025,72529,,7,,,,,,sábado,11554,15.930179652
fase_dia,2021,64567,,4,,,,,,Pleno dia,34799,53.895953041
fase_dia,2022,64606,,4,,,,,,Pleno dia,34840,53.926879856
fase_dia,2023,67766,,4,,,,,,Pleno dia,37323,55.076291946
fase_dia,2024,73156,,4,,,,,,Pleno dia,40284,55.065886599
fase_dia,2025,72529,,4,,,,,,Pleno dia,40375,55.667388217
horario,2021,64567,64567,1302,,,00:00:00,23:59:00,64567,,,
horario,2022,64606,64606,1388,,,00:00:00,23:59:00,64606,,,
horario,2023,67766,67766,1406,,,00:00:00,23:59:00,67766,,,
horario,2024,73156,73156,1415,,,00:00:00,23:59:00,73156,,,
horario,2025,72529,72529,1412,,,00:00:00,23:59:00,72529,,,
hour,2021,64567,,24,,,,,,18,4869,7.541003918
hour,2022,64606,,24,,,,,,18,4682,7.247004922
hour,2023,67766,,24,,,,,,18,5126,7.564265266
hour,2024,73156,,24,,,,,,18,5494,7.509978676
hour,2025,72529,,24,,,,,,18,5398,7.442540225
month_name,2021,64567,,12,,,,,,Dezembro,5847,9.055709573
month_name,2022,64606,,12,,,,,,Dezembro,5838,9.036312417
month_name,2023,67766,,12,,,,,,Dezembro,6614,9.760056666
month_name,2024,73156,,12,,,,,,Dezembro,6587,9.004046148
month_name,2025,72529,,12,,,,,,Dezembro,6788,9.359015015
municipio,2021,64567,,1791,,,,,,BRASILIA,982,1.52090077
municipio,2022,64606,,1802,,,,,,BRASILIA,922,1.427112033
municipio,2023,67766,,1826,,,,,,BRASILIA,977,1.441725939
municipio,2024,73156,,1833,,,,,,BRASILIA,1056,1.443490623
municipio,2025,72529,,1844,,,,,,BRASILIA,1011,1.393925189
pessoas,2021,64567,,51,,,,,,2,26529,41.087552465
pessoas,2022,64606,,58,,,,,,2,26061,40.338358666
pessoas,2023,67766,,62,,,,,,2,27067,39.941858749
pessoas,2024,73156,,62,,,,,,2,29633,40.50658866
pessoas,2025,72529,,66,,,,,,2,29300,40.39763405
sentido_via,2021,64567,,3,,,,,,Crescente,33916,52.528381371
sentido_via,2022,64606,,3,,,,,,Crescente,34787,53.844844132
sentido_via,2023,67766,,3,,,,,,Crescente,36710,54.171708526
sentido_via,2024,73156,,3,,,,,,Crescente,39281,53.694843895
sentido_via,2025,72529,,3,,,,,,Crescente,38715,53.378648541
tipo_acidente,2021,64567,,17,,,,,,Colisão traseira,12315,19.073210773
tipo_acidente,2022,64606,,16,,,,,,Colisão traseira,12090,18.713432189
tipo_acidente,2023,67766,,16,,,,,,Colisão traseira,12909,19.049375793
tipo_acidente,2024,73156,,17,,,,,,Colisão traseira,13960,19.082508612
tipo_acidente,2025,72529,,17,,,,,,Colisão traseira,14360,19.798976961
tipo_pista,2021,64567,,3,,,,,,Simples,31819,49.280592253
tipo_pista,2022,64606,,3,,,,,,Simples,31998,49.527907625
