variable,audit_method,evidence_observed,temporal_generalization_risk,recommended_action_3b,final_inclusion_decided
data_inversa,calendar_coverage,Cobertura de calendário: 342624/342624 datas parseáveis.,Representações temporais redundantes podem duplicar informação e depender do desenho temporal.,Resolver redundância e disponibilidade temporal na Fase 3B.,false
month_name,categorical_tvd,TVD=0.010448; maior mudança=Novembro (0.395438 p.p.); novas em 2025=0; share unseen=0.000000%.,Representações temporais redundantes podem duplicar informação e depender do desenho temporal.,Resolver redundância e disponibilidade temporal na Fase 3B.,false
dia_semana,categorical_tvd,TVD=0.013845; maior mudança=domingo (0.775355 p.p.); novas em 2025=0; share unseen=0.000000%.,Mudança de participação entre períodos pode alterar o desempenho fora do desenvolvimento.,Considerar o valor observado no desenho e monitoramento da Fase 3B.,false
horario,derived_hour_proxy,Proxy hour: 342624/342624 horários parseáveis.,Representações temporais redundantes podem duplicar informação e depender do desenho temporal.,Resolver redundância e disponibilidade temporal na Fase 3B.,false
hour,categorical_tvd,TVD=0.010779; maior mudança=7 (0.245433 p.p.); novas em 2025=0; share unseen=0.000000%.,Representações temporais redundantes podem duplicar informação e depender do desenho temporal.,Resolver redundância e disponibilidade temporal na Fase 3B.,false
fase_dia,categorical_tvd,TVD=0.011510; maior mudança=Pleno dia (1.151014 p.p.); novas em 2025=0; share unseen=0.000000%.,Mudança de participação entre períodos pode alterar o desempenho fora do desenvolvimento.,Considerar o valor observado no desenho e monitoramento da Fase 3B.,false
uf,categorical_tvd,TVD=0.029849; maior mudança=RJ (0.998392 p.p.); novas em 2025=0; share unseen=0.000000%.,Mudança de participação entre períodos pode alterar o desempenho fora do desenvolvimento.,Considerar o valor observado no desenho e monitoramento da Fase 3B.,false
br,categorical_tvd,TVD=0.030241; maior mudança=101 (0.780317 p.p.); novas em 2025=1; share unseen=0.001379%.,Mudança de participação entre períodos pode alterar o desempenho fora do desenvolvimento.,Considerar o valor observado no desenho e monitoramento da Fase 3B.,false
km,development_decile_binned_tvd,TVD=0.011486; mediana dev=193.000000; mediana 2025=192.500000.,Mudança espacial ou de cobertura pode reduzir generalização para 2025.,"Revisar magnitude, missingness e representação geográfica na Fase 3B.",false
municipio,categorical_tvd,TVD=0.089805; maior mudança=RIO DE JANEIRO (0.217084 p.p.); novas em 2025=49; share unseen=0.097892%.,Mudança espacial ou de cobertura pode reduzir generalização para 2025.,"Revisar magnitude, missingness e representação geográfica na Fase 3B.",false
latitude,development_decile_binned_tvd,TVD=0.018407; mediana dev=-20.468674; mediana 2025=-20.363575.,Mudança espacial ou de cobertura pode reduzir generalização para 2025.,"Revisar magnitude, missingness e representação geográfica na Fase 3B.",false
longitude,development_decile_binned_tvd,TVD=0.019970; mediana dev=-47.579384; mediana 2025=-46.859333.,Mudança espacial ou de cobertura pode reduzir generalização para 2025.,"Revisar magnitude, missingness e representação geográfica na Fase 3B.",false
sentido_via,categorical_tvd,TVD=0.002277; maior mudança=Decrescente (0.227712 p.p.); novas em 2025=0; share unseen=0.000000%.,Mudança de participação entre períodos pode alterar o desempenho fora do desenvolvimento.,Considerar o valor observado no desenho e monitoramento da Fase 3B.,false
condicao_metereologica,categorical_tvd,TVD=0.019615; maior mudança=Céu Claro (1.874002 p.p.); novas em 2025=0; share unseen=0.000000%.,Mudança de participação entre períodos pode alterar o desempenho fora do desenvolvimento.,Considerar o valor observado no desenho e monitoramento da Fase 3B.,false
tipo_pista,categorical_tvd,TVD=0.011554; maior mudança=Simples (1.155424 p.p.); novas em 2025=0; share unseen=0.000000%.,Mudança de participação entre períodos pode alterar o desempenho fora do desenvolvimento.,Considerar o valor observado no desenho e monitoramento da Fase 3B.,false
uso_solo,categorical_tvd,TVD=0.005919; maior mudança=Sim (0.591919 p.p.); novas em 2025=0; share unseen=0.000000%.,Mudança de participação entre períodos pode alterar o desempenho fora do desenvolvimento.,Considerar o valor observado no desenho e monitoramento da Fase 3B.,false
tracado_via,high_cardinality_categorical_tvd,TVD=0.082051; maior mudança=Reta (2.329518 p.p.); novas em 2025=168; share unseen=0.272994%.,Representações redundantes e natureza combinatória/multilabel podem produzir categorias raras.,Escolher representação única ou controlada na Fase 3B; não selecionar definitivamente nesta fase.,false
tracado_via_components,multilabel_prevalence_shift,TVD exclusiva não aplicável; maior mudança de prevalência=Reta (3.171827 p.p.).,Representações redundantes e natureza combinatória/multilabel podem produzir categorias raras.,Escolher representação única ou controlada na Fase 3B; não selecionar definitivamente nesta fase.,false
tipo_acidente,categorical_tvd,TVD=0.032081; maior mudança=Saída de leito carroçável (1.542830 p.p.); novas em 2025=0; share unseen=0.000000%.,Mudanças de taxonomia e de frequência entre períodos podem afetar representação e generalização; categorias desconhecidas também deverão ser tratadas explicitamente em uso futuro.,"Definir disponibilidade preditiva e política explícita para categorias desconhecidas, sem harmonizar ainda.",false
causa_acidente,categorical_tvd,TVD=0.079368; maior mudança=Ausência de reação do condutor (3.535453 p.p.); novas em 2025=0; share unseen=0.000000%.,Mudanças de taxonomia e de frequência entre períodos podem afetar representação e generalização; categorias desconhecidas também deverão ser tratadas explicitamente em uso futuro.,"Definir disponibilidade preditiva e política explícita para categorias desconhecidas, sem harmonizar ainda.",false
pessoas,discrete_exact_tvd,TVD=0.009196; maior mudança=1 (0.663079 p.p.); novas em 2025=3; share unseen=0.006894%.,"Cauda longa, valores novos e disponibilidade temporal podem afetar generalização.",Decidir disponibilidade e representação da contagem antes de eventual inclusão.,false
veiculos,discrete_exact_tvd,TVD=0.013573; maior mudança=1 (1.181535 p.p.); novas em 2025=3; share unseen=0.004136%.,"Cauda longa, valores novos e disponibilidade temporal podem afetar generalização.",Decidir disponibilidade e representação da contagem antes de eventual inclusão.,false
