variable,component,development_occurrences,development_prevalence_percent,comparison_occurrences,comparison_prevalence_percent,difference_percentage_points,absolute_difference_percentage_points,years_present,temporal_presence_status,audit_method
tracado_via_components,Reta,188855,69.921694219,53014,73.093521212,3.171826994,3.171826994,2021|2022|2023|2024|2025,shared,multilabel_prevalence_shift
tracado_via_components,Declive,24823,9.19047002,7912,10.908739952,1.718269932,1.718269932,2021|2022|2023|2024|2025,shared,multilabel_prevalence_shift
tracado_via_components,Aclive,19028,7.044928636,6057,8.351142302,1.306213665,1.306213665,2021|2022|2023|2024|2025,shared,multilabel_prevalence_shift
tracado_via_components,Interseção de Vias,17479,6.47142672,5323,7.339133312,0.867706592,0.867706592,2021|2022|2023|2024|2025,shared,multilabel_prevalence_shift
tracado_via_components,Em Obras,4924,1.823062256,1732,2.388010313,0.564948057,0.564948057,2021|2022|2023|2024|2025,shared,multilabel_prevalence_shift
tracado_via_components,Retorno Regulamentado,5936,2.197745238,1894,2.611369245,0.413624008,0.413624008,2021|2022|2023|2024|2025,shared,multilabel_prevalence_shift
tracado_via_components,Viaduto,3947,1.461337677,1263,1.741372417,0.280034739,0.280034739,2021|2022|2023|2024|2025,shared,multilabel_prevalence_shift
tracado_via_components,Rotatória,6493,2.403968974,1929,2.659625805,0.255656831,0.255656831,2021|2022|2023|2024|2025,shared,multilabel_prevalence_shift
tracado_via_components,Curva,49615,18.369462596,13140,18.116891175,-0.252571422,0.252571422,2021|2022|2023|2024|2025,shared,multilabel_prevalence_shift
tracado_via_components,Ponte,2720,1.007053074,820,1.13058225,0.123529176,0.123529176,2021|2022|2023|2024|2025,shared,multilabel_prevalence_shift
tracado_via_components,Desvio Temporário,1088,0.40282123,379,0.522549601,0.119728371,0.119728371,2021|2022|2023|2024|2025,shared,multilabel_prevalence_shift
tracado_via_components,Túnel,148,0.054795535,42,0.057907871,0.003112336,0.003112336,2021|2022|2023|2024|2025,shared,multilabel_prevalence_shift
