variable,category,occurrences_2025,share_2025_percent,first_year_observed,note
br,431,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,POXOREU,17,0.0234389,2025,Categoria nova não tratada automaticamente como erro.
municipio,CAMPO NOVO DE RONDONIA,3,0.004136277,2025,Categoria nova não tratada automaticamente como erro.
municipio,CAMARAGIBE,2,0.002757518,2025,Categoria nova não tratada automaticamente como erro.
municipio,SAO JOAO DA LAGOA,2,0.002757518,2025,Categoria nova não tratada automaticamente como erro.
municipio,SATUBINHA,2,0.002757518,2025,Categoria nova não tratada automaticamente como erro.
municipio,TANGARA DA SERRA,2,0.002757518,2025,Categoria nova não tratada automaticamente como erro.
municipio,ALMENARA,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,AMARALINA,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,AMARGOSA,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,ANTA GORDA,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,ARROIO DO MEIO,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,BARRA DOS COQUEIROS,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,BARREIRINHAS,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,BONITO,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,BONOPOLIS,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,BUIQUE,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,BURITI ALEGRE,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,CAMPINAS,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,CARANAIBA,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,CARIRE,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,COCOS,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,FAZENDA NOVA,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,GUARAQUECABA,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,IACU,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,IGUATEMI,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,INACIO MARTINS,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,IPIRA,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,ITAUNA,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,ITUTINGA,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,MARIANA PIMENTEL,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,MUTUNOPOLIS,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,NOVO SAO JOAQUIM,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,PAICANDU,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,PALMA SOLA,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,PALMEIRAS DE GOIAS,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,PINHAIS,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,POCO DE JOSE DE MOURA,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,PUXINANA,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,SANTA MERCEDES,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,SANTA ROSA DO TOCANTINS,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,SAO CAETANO DE ODIVELAS,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,SAO JOSE DO DIVINO,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,SAO MIGUEL DO PASSA QUATRO,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,SARZEDO,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,SILVANOPOLIS,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,TAILANDIA,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,TAIO,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,TIBAU,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
municipio,TOME-ACU,1,0.001378759,2025,Categoria nova não tratada automaticamente como erro.
pessoas,69,3,0.004136277,2025,Valor discreto exato; decisão de representação permanece para a Fase 3B.
pessoas,71,1,0.001378759,2025,Valor discreto exato; decisão de representação permanece para a Fase 3B.
pessoas,76,1,0.001378759,2025,Valor discreto exato; decisão de representação permanece para a Fase 3B.
tracado_via,Retorno Regulamentado;Reta;Viaduto,5,0.006893794,2025,Combinação original do campo multivalorado; não é erro automático.
tracado_via,Aclive;Em Obras;Desvio Temporário,3,0.004136277,2025,Combinação original do campo multivalorado; não é erro automático.
tracado_via,Aclive;Rotatória;Interseção de Vias,3,0.004136277,2025,Combinação original do campo multivalorado; não é erro automático.
tracado_via,Curva;Declive;Rotatória,3,0.004136277,2025,Combinação original do campo multivalorado; não é erro automático.
