partition_id,partition_role,years,rows,severe,non_severe,severe_rate_percent
year_2021,annual,2021,64567,18118,46449,28.060774
year_2022,annual,2022,64606,18409,46197,28.494257
year_2023,annual,2023,67766,19212,48554,28.3505
year_2024,annual,2024,73156,20625,52531,28.193176
year_2025,annual,2025,72529,20493,52036,28.254905
development,development,"2021,2022,2023,2024",270095,76364,193731,28.273015
final_test,final_evaluation,2025,72529,20493,52036,28.254905
fold_1_train,fold_train,2021,64567,18118,46449,28.060774
fold_1_validation,fold_validation,2022,64606,18409,46197,28.494257
fold_2_train,fold_train,"2021,2022",129173,36527,92646,28.277581
fold_2_validation,fold_validation,2023,67766,19212,48554,28.3505
fold_3_train,fold_train,"2021,2022,2023",196939,55739,141200,28.302672
fold_3_validation,fold_validation,2024,73156,20625,52531,28.193176
