fold,feature,train_category_count,train_categories,validation_category_count,unknown_category_count,unknown_categories,validation_rows_with_unknown,validation_unknown_share_percent
1,month_name,12,"[""Abril"",""Agosto"",""Dezembro"",""Fevereiro"",""Janeiro"",""Julho"",""Junho"",""Maio"",""Março"",""Novembro"",""Outubro"",""Setembro""]",12,0,[],0,0.0
1,dia_semana,7,"[""domingo"",""quarta-feira"",""quinta-feira"",""segunda-feira"",""sexta-feira"",""sábado"",""terça-feira""]",7,0,[],0,0.0
1,hour,24,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]",24,0,[],0,0.0
1,uf,27,"[""AC"",""AL"",""AM"",""AP"",""BA"",""CE"",""DF"",""ES"",""GO"",""MA"",""MG"",""MS"",""MT"",""PA"",""PB"",""PE"",""PI"",""PR"",""RJ"",""RN"",""RO"",""RR"",""RS"",""SC"",""SE"",""SP"",""TO""]",27,0,[],0,0.0
1,br,114,"[0,10,20,30,40,50,60,70,80,101,104,110,116,122,135,146,153,155,156,158,163,174,210,222,226,230,232,235,242,251,259,262,267,272,277,280,282,285,287,290,293,304,308,316,317,319,324,330,343,349,354,356,359,361,364,365,367,369,373,376,381,386,392,393,401,402,403,405,406,407,408,410,412,414,415,416,418,419,420,421,422,423,424,425,426,427,428,429,432,433,434,435,436,447,448,452,459,463,465,467,468,469,470,471,472,475,476,480,482,484,487,488,493,495]",117,5,"[265,342,430,437,485]",12,0.018574
1,sentido_via,3,"[""Crescente"",""Decrescente"",""Não Informado""]",3,0,[],0,0.0
1,condicao_metereologica,10,"[""Chuva"",""Céu Claro"",""Garoa/Chuvisco"",""Granizo"",""Ignorado"",""Neve"",""Nevoeiro/Neblina"",""Nublado"",""Sol"",""Vento""]",10,0,[],0,0.0
1,tipo_pista,3,"[""Dupla"",""Múltipla"",""Simples""]",3,0,[],0,0.0
1,uso_solo,2,"[""Não"",""Sim""]",2,0,[],0,0.0
2,month_name,12,"[""Abril"",""Agosto"",""Dezembro"",""Fevereiro"",""Janeiro"",""Julho"",""Junho"",""Maio"",""Março"",""Novembro"",""Outubro"",""Setembro""]",12,0,[],0,0.0
2,dia_semana,7,"[""domingo"",""quarta-feira"",""quinta-feira"",""segunda-feira"",""sexta-feira"",""sábado"",""terça-feira""]",7,0,[],0,0.0
2,hour,24,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]",24,0,[],0,0.0
2,uf,27,"[""AC"",""AL"",""AM"",""AP"",""BA"",""CE"",""DF"",""ES"",""GO"",""MA"",""MG"",""MS"",""MT"",""PA"",""PB"",""PE"",""PI"",""PR"",""RJ"",""RN"",""RO"",""RR"",""RS"",""SC"",""SE"",""SP"",""TO""]",27,0,[],0,0.0
2,br,119,"[0,10,20,30,40,50,60,70,80,101,104,110,116,122,135,146,153,155,156,158,163,174,210,222,226,230,232,235,242,251,259,262,265,267,272,277,280,282,285,287,290,293,304,308,316,317,319,324,330,342,343,349,354,356,359,361,364,365,367,369,373,376,381,386,392,393,401,402,403,405,406,407,408,410,412,414,415,416,418,419,420,421,422,423,424,425,426,427,428,429,430,432,433,434,435,436,437,447,448,452,459,463,465,467,468,469,470,471,472,475,476,480,482,484,485,487,488,493,495]",119,3,"[352,494,498]",3,0.004427
2,sentido_via,3,"[""Crescente"",""Decrescente"",""Não Informado""]",3,0,[],0,0.0
2,condicao_metereologica,10,"[""Chuva"",""Céu Claro"",""Garoa/Chuvisco"",""Granizo"",""Ignorado"",""Neve"",""Nevoeiro/Neblina"",""Nublado"",""Sol"",""Vento""]",10,0,[],0,0.0
2,tipo_pista,3,"[""Dupla"",""Múltipla"",""Simples""]",3,0,[],0,0.0
2,uso_solo,2,"[""Não"",""Sim""]",2,0,[],0,0.0
3,month_name,12,"[""Abril"",""Agosto"",""Dezembro"",""Fevereiro"",""Janeiro"",""Julho"",""Junho"",""Maio"",""Março"",""Novembro"",""Outubro"",""Setembro""]",12,0,[],0,0.0
3,dia_semana,7,"[""domingo"",""quarta-feira"",""quinta-feira"",""segunda-feira"",""sexta-feira"",""sábado"",""terça-feira""]",7,0,[],0,0.0
3,hour,24,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]",24,0,[],0,0.0
3,uf,27,"[""AC"",""AL"",""AM"",""AP"",""BA"",""CE"",""DF"",""ES"",""GO"",""MA"",""MG"",""MS"",""MT"",""PA"",""PB"",""PE"",""PI"",""PR"",""RJ"",""RN"",""RO"",""RR"",""RS"",""SC"",""SE"",""SP"",""TO""]",27,0,[],0,0.0
3,br,122,"[0,10,20,30,40,50,60,70,80,101,104,110,116,122,135,146,153,155,156,158,163,174,210,222,226,230,232,235,242,251,259,262,265,267,272,277,280,282,285,287,290,293,304,308,316,317,319,324,330,342,343,349,352,354,356,359,361,364,365,367,369,373,376,381,386,392,393,401,402,403,405,406,407,408,410,412,414,415,416,418,419,420,421,422,423,424,425,426,427,428,429,430,432,433,434,435,436,437,447,448,452,459,463,465,467,468,469,470,471,472,475,476,480,482,484,485,487,488,493,494,495,498]",113,3,"[307,363,466]",3,0.004101
3,sentido_via,3,"[""Crescente"",""Decrescente"",""Não Informado""]",3,0,[],0,0.0
3,condicao_metereologica,10,"[""Chuva"",""Céu Claro"",""Garoa/Chuvisco"",""Granizo"",""Ignorado"",""Neve"",""Nevoeiro/Neblina"",""Nublado"",""Sol"",""Vento""]",10,0,[],0,0.0
3,tipo_pista,3,"[""Dupla"",""Múltipla"",""Simples""]",3,0,[],0,0.0
3,uso_solo,2,"[""Não"",""Sim""]",2,0,[],0,0.0
