fold,validation_year,bin,mean_predicted_probability,observed_positive_rate
1,2022,1,0.1489820686331262,0.15384615384615385
1,2022,2,0.18580713303188165,0.20585048754062837
1,2022,3,0.21143773813173541,0.23297213622291021
1,2022,4,0.2348755347528012,0.2338647268224733
1,2022,5,0.258586251884966,0.25061919504643965
1,2022,6,0.28272241254690506,0.29809626992725585
1,2022,7,0.3080106899806063,0.30371517027863776
1,2022,8,0.3377124636056128,0.33601609657947684
1,2022,9,0.37717724416699144,0.3761609907120743
1,2022,10,0.4585563384639,0.4582881906825569
2,2023,1,0.15433886753374834,0.14873837981407703
2,2023,2,0.1933433927663769,0.19167773351040282
2,2023,3,0.21904216808348012,0.20838252656434475
2,2023,4,0.24272775684083764,0.24332300427917958
2,2023,5,0.2653510457922803,0.26711924439197166
2,2023,6,0.2889980395626684,0.28906595838866755
2,2023,7,0.31545860146940313,0.2960448642266824
2,2023,8,0.3466569151066373,0.33643204957945994
2,2023,9,0.3873608997906815,0.3714580873671783
2,2023,10,0.47111105008662774,0.4828095027298215
3,2024,1,0.15103185306434005,0.1532258064516129
3,2024,2,0.18809935591046542,0.18808091853471842
3,2024,3,0.21376537667928608,0.20792891319207107
3,2024,4,0.23689445988238084,0.2426189174412247
3,2024,5,0.2602199425109737,0.25263157894736843
3,2024,6,0.2847254383356189,0.2781574630945872
3,2024,7,0.3118274333185825,0.2932330827067669
3,2024,8,0.34465555727228986,0.339803171131766
3,2024,9,0.3871156788651495,0.3799043062200957
3,2024,10,0.47048814871515615,0.48373428102788407
