fold,validation_year,bin,mean_predicted_probability,observed_positive_rate
1,2022,1,0.17701554092399804,0.1524531806221947
1,2022,2,0.21079354505805017,0.1995047206314812
1,2022,3,0.2307297220925667,0.22275541795665635
1,2022,4,0.24711063161106359,0.24702058504875407
1,2022,5,0.2634596724706741,0.2631578947368421
1,2022,6,0.2838200727609508,0.2861786101222721
1,2022,7,0.30622694496994013,0.30851393188854487
1,2022,8,0.32816831226212806,0.3327658257235722
1,2022,9,0.35059489362441604,0.3778637770897833
1,2022,10,0.4058247743950679,0.45921683949852965
2,2023,1,0.17760165646506926,0.1460823373173971
2,2023,2,0.21338710346269335,0.1838571639368452
2,2023,3,0.23394398419452786,0.21635182998819363
2,2023,4,0.24996482511626306,0.24229009886380404
2,2023,5,0.2654190749287848,0.2699232585596222
2,2023,6,0.28581039734968966,0.2809502729821455
2,2023,7,0.31034131945746746,0.29929161747343563
2,2023,8,0.3338606334924546,0.3330382175003689
2,2023,9,0.35627410386682334,0.3782467532467532
2,2023,10,0.4109971943256559,0.48502287147705475
3,2024,1,0.17449754695269193,0.14106068890103882
3,2024,2,0.21115685923736044,0.1863039912520503
3,2024,3,0.23235171279541744,0.21749829118250172
3,2024,4,0.24874804010752252,0.23974849644614543
3,2024,5,0.26392838630723137,0.2672590567327409
3,2024,6,0.2837017912863322,0.274603608529251
3,2024,7,0.308780222574764,0.2909090909090909
3,2024,8,0.3327780956567809,0.33064516129032256
3,2024,9,0.3556791543088493,0.3872863978127136
3,2024,10,0.4151752218047107,0.48400765445598687
