fold,validation_year,bin,mean_predicted_probability,observed_positive_rate
1,2022,1,0.14233052640556,0.14703606252902027
1,2022,2,0.18486241330913744,0.2005881442501161
1,2022,3,0.2116755277818017,0.21764705882352942
1,2022,4,0.23494536336814079,0.24454418820616003
1,2022,5,0.25725792592662405,0.26037151702786376
1,2022,6,0.28100241600055664,0.289738430583501
1,2022,7,0.3070477600990803,0.3143962848297214
1,2022,8,0.3368673736494478,0.3304442036836403
1,2022,9,0.37713166797770065,0.38219814241486066
1,2022,10,0.46608941396071324,0.4624671103544343
2,2023,1,0.14982147413236263,0.1407702523240372
2,2023,2,0.1916393091171316,0.17780728936107423
2,2023,3,0.2186934920192785,0.22343565525383707
2,2023,4,0.2413093243440168,0.2403718459495352
2,2023,5,0.26314870148474945,0.26638134592680046
2,2023,6,0.28679591302536084,0.2703261029954257
2,2023,7,0.3123436808067131,0.300767414403778
2,2023,8,0.34229829588593574,0.3470562195661797
2,2023,9,0.38267806457815234,0.3804604486422668
2,2023,10,0.4690115013507082,0.4876789139737347
3,2024,1,0.1463894953125321,0.1364133406232914
3,2024,2,0.18879300316601194,0.18220338983050846
3,2024,3,0.21622369847555153,0.21859193438140806
3,2024,4,0.23845282728804662,0.2382449425915801
3,2024,5,0.2598509187190727,0.24524948735475052
3,2024,6,0.2832354193399551,0.27706396938217603
3,2024,7,0.30946091412275684,0.31073137388926864
3,2024,8,0.34050075282093734,0.32941498086386
3,2024,9,0.3817271430608107,0.3875598086124402
3,2024,10,0.4699447043056759,0.49384909786768727
