key,value
library,xgboost
library_version,3.3.0
model_family,xgboost_gradient_boosted_trees
role,baseline_candidate
booster,gbtree
n_estimators,300
learning_rate,0.05
max_depth,6
min_child_weight,1.0
gamma,0.0
subsample,0.8
colsample_bytree,0.8
reg_alpha,0.0
reg_lambda,1.0
scale_pos_weight,1.0
objective,binary:logistic
eval_metric,logloss
tree_method,hist
device,cpu
random_state,42
enable_categorical,false
preprocessing,phase_3e
validation,expanding_window_3_folds
primary_metric,Average Precision
model_selection_aggregation,unweighted_fold_mean
threshold_policy,not_selected_0.5_reference_only
early_stopping,false
hyperparameter_tuning,false
final_test_year,2025_reserved
