key,value
selection_status,selected
selected_model_id,phase_4c_xgboost_baseline
selected_model_family,xgboost_gradient_boosted_trees
threshold_objective,F1_positive_class
positive_class,target_grave=True
threshold_candidate_policy,unique_oof_probabilities
prediction_rule,predicted_probability_grave>=threshold
tie_break_1,higher_recall
tie_break_2,lower_threshold
oof_years,"2022,2023,2024"
oof_rows,205528
oof_unique_ids,205528
oof_sha256,28925211b1542c2c7965b8b45cd6b5f360389f200ea197de57f9068f777a6bdb
candidate_threshold_count,202207
max_f1_tie_count,1
selected_threshold,0.23723246157169342
selected_precision,0.33330114898136526
selected_recall,0.7704563403495519
selected_f1,0.46530870405989
selected_tn,57517
selected_fp,89765
selected_fn,13370
selected_tp,44876
reference_threshold,0.5
reference_precision,0.5713684210526315
reference_recall,0.04659547436733853
reference_f1,0.08616420090164455
final_test_year,2025_reserved
final_test_used,false
refit_performed,false
