key,value
refit_status,completed
selected_model_id,phase_4c_xgboost_baseline
selected_model_family,xgboost_gradient_boosted_trees
training_period,2021-2024
training_years,"2021,2022,2023,2024"
training_rows,270095
training_unique_ids,270095
training_positive,76364
training_negative,193731
training_positive_rate,0.2827301505026009
predictor_count,22
preprocessing,phase_3e
source_model_contract,phase_4c_xgboost_model_contract.csv
n_estimators,300
learning_rate,0.05
max_depth,6
min_child_weight,1.0
gamma,0.0
subsample,0.8
colsample_bytree,0.8
reg_alpha,0.0
reg_lambda,1.0
scale_pos_weight,1.0
objective,binary:logistic
eval_metric,logloss
tree_method,hist
device,cpu
n_jobs,-1
random_state,42
booster,gbtree
enable_categorical,false
early_stopping,false
hyperparameter_tuning,false
completed_boosting_rounds,300
all_rounds_completed,true
transformed_feature_count,226
threshold_source,phase_4f
frozen_threshold,0.23723246157169342
model_artifact_path,artifacts/models/phase_4g_xgboost_final_pipeline.pkl
model_artifact_sha256,c9379d5d150dde80615740de750a49b887869a5f56343ce9b967d51937033351
model_artifact_size_bytes,1204426
python_version,3.14.6
scikit_learn_version,1.9.0
xgboost_version,3.3.0
polars_version,1.43.2
final_test_year,2025_reserved
final_test_used,false
final_evaluation_performed,false
