bin,rows,probability_min,probability_max,mean_predicted_probability,observed_positive_rate
1,7253,0.05519633740186691,0.1750064492225647,0.14931416648929158,0.14338894250654902
2,7253,0.17501094937324524,0.20512798428535461,0.19072843472143708,0.18351027161174685
3,7253,0.20513121783733368,0.22840508818626404,0.21701153776907978,0.21480766579346477
4,7253,0.2284085899591446,0.24943998456001282,0.23895375831002583,0.24141734454708397
5,7253,0.24944384396076202,0.2708747088909149,0.25996086848870187,0.2645801737212188
6,7252,0.27087512612342834,0.2957368791103363,0.2831840975239865,0.29191947049089906
7,7253,0.2957385182380676,0.32316070795059204,0.3093978725276157,0.3029091410450848
8,7253,0.3231663405895233,0.3567579984664917,0.3389026507022347,0.33723976285674895
9,7253,0.35676082968711853,0.4090918004512787,0.38046429225630257,0.36784778712257
10,7253,0.4090927839279175,0.7569674849510193,0.4708657106925221,0.47787122569971047
