source_predictor,outcome,rows,mean_abs_margin_contribution,mean_signed_margin_contribution
month_name,TP,15817,0.015534632073387324,0.00026975335738093763
month_name,FP,31883,0.014974555484381301,0.00037164704188283646
month_name,FN,4676,0.014670928377474891,-0.00148603738425074
month_name,TN,20153,0.014644611016921627,-0.0010374947425311521
dia_semana,TP,15817,0.04586256046840408,0.002636123078848222
dia_semana,FP,31883,0.04342658370700538,0.0005816435182947763
dia_semana,FN,4676,0.038626258017951956,-0.0058950213168633935
dia_semana,TN,20153,0.03780131365336157,-0.005974547257360585
hour,TP,15817,0.2194954934369498,0.028090969627746914
hour,FP,31883,0.21484058499731604,0.015091541354741302
hour,FN,4676,0.21312939602501396,-0.05679472705220201
hour,TN,20153,0.21352187297657388,-0.05940444561466339
uf,TP,15817,0.302331467570759,0.08477527747817583
uf,FP,31883,0.2872788336390941,0.0438591755441904
uf,FN,4676,0.33068818549365403,-0.16270150280359444
uf,TN,20153,0.34407154180766664,-0.18082035642290992
br,TP,15817,0.11800400739638006,0.0340033421344736
br,FP,31883,0.10987356079052138,0.017136457069500104
br,FN,4676,0.11540934619021193,-0.04266542879319848
br,TN,20153,0.12191911869982514,-0.051190556224967376
sentido_via,TP,15817,0.012136626866569399,0.0009640624988842726
sentido_via,FP,31883,0.012048472955138747,0.0007007145782524219
sentido_via,FN,4676,0.010205175003026406,-0.0007906431577361563
sentido_via,TN,20153,0.01105655076454406,-0.0020122431465145244
condicao_metereologica,TP,15817,0.0566423379373353,0.01369100739777636
condicao_metereologica,FP,31883,0.0578386364374481,0.013591787789620453
condicao_metereologica,FN,4676,0.08985347957480845,-0.01799894081864971
condicao_metereologica,TN,20153,0.09488451078110782,-0.025033956214278733
tipo_pista,TP,15817,0.21876597915758075,0.08231382806109658
tipo_pista,FP,31883,0.2144616809327769,0.05514837876757257
tipo_pista,FN,4676,0.2133592993591066,-0.1532538415131633
tipo_pista,TN,20153,0.21558040385853497,-0.15942911421186698
uso_solo,TP,15817,0.014220471732194075,0.0008401554553600379
uso_solo,FP,31883,0.01345480801754888,-0.0004709450534372293
uso_solo,FN,4676,0.009408350773886381,-0.0038474303461161225
uso_solo,TN,20153,0.00943697816279027,-0.003982024926706902
km,TP,15817,0.05567491208333301,0.023025127095782433
km,FP,31883,0.05385742355854733,0.015824543513505703
km,FN,4676,0.048181067394651354,-0.014398751452045647
km,TN,20153,0.05220656839232255,-0.020940116043172908
tracado_aclive,TP,15817,0.008547362539850181,0.0013232850424924204
tracado_aclive,FP,31883,0.008368918025346343,0.0008419294130065246
tracado_aclive,FN,4676,0.008443573853236082,-0.0009431411126399149
tracado_aclive,TN,20153,0.007950320921185885,-0.0012272954264565168
tracado_curva,TP,15817,0.010669188537053977,0.00013697818020130448
tracado_curva,FP,31883,0.010733998165772179,-0.0005413748369911483
tracado_curva,FN,4676,0.011560282474135923,-0.00281047428349403
tracado_curva,TN,20153,0.011947468405839384,-0.0035055628736127857
tracado_declive,TP,15817,0.030565949612891604,0.006320247776301
tracado_declive,FP,31883,0.028893685482034914,0.00430140324535479
tracado_declive,FN,4676,0.020396369825408277,-0.0040462368694096215
tracado_declive,TN,20153,0.020584664789207657,-0.0036103519878866804
tracado_desvio_temporario,TP,15817,0.00010006653149757206,5.456685008351209e-6
tracado_desvio_temporario,FP,31883,0.00008471013606271637,-8.396951547300177e-6
tracado_desvio_temporario,FN,4676,0.00006287156777378278,-0.00001880790469312307
tracado_desvio_temporario,TN,20153,0.00006854928458266937,-0.000012383285764721099
tracado_em_obras,TP,15817,0.0006321653280982829,0.00009105268363261998
tracado_em_obras,FP,31883,0.0007077336606724211,0.00013889003127219557
tracado_em_obras,FN,4676,0.0008684089385166555,0.00015201770421359546
tracado_em_obras,TN,20153,0.000791806571837852,0.00006833216467977865
tracado_intersecao_de_vias,TP,15817,0.0014378007634101443,0.0006773217355714761
tracado_intersecao_de_vias,FP,31883,0.0014497474747484694,0.0005620793929626275
tracado_intersecao_de_vias,FN,4676,0.0011346651130307724,0.0003340981548653703
tracado_intersecao_de_vias,TN,20153,0.0011758959578852368,0.0003064315968693873
tracado_ponte,TP,15817,0.001294063970825955,0.00011137345004682219
tracado_ponte,FP,31883,0.001278111548232471,0.00006029675813626407
tracado_ponte,FN,4676,0.0010644371960928402,-0.00018473347514996204
tracado_ponte,TN,20153,0.0010743425117136884,-0.00016812720914396797
tracado_reta,TP,15817,0.03676346892656394,0.009090631369561748
tracado_reta,FP,31883,0.03571576048550928,0.007405056704098403
tracado_reta,FN,4676,0.03361660958816663,-0.00042001506826745536
tracado_reta,TN,20153,0.03404152507134412,-0.0015554335639103045
tracado_retorno_regulamentado,TP,15817,0.0013134495749888041,0.00046345148430991745
tracado_retorno_regulamentado,FP,31883,0.0014166165514987433,0.0005499962839051681
tracado_retorno_regulamentado,FN,4676,0.0014768819456000262,0.00027748820650929084
tracado_retorno_regulamentado,TN,20153,0.0013567465695640444,0.00011657104220444307
tracado_rotatoria,TP,15817,0.009889612726680477,0.0053756554147166655
tracado_rotatoria,FP,31883,0.01064868687968835,0.004365195090106844
tracado_rotatoria,FN,4676,0.0230431184762487,-0.011835298473345055
tracado_rotatoria,TN,20153,0.02421214681769526,-0.013184552390709321
tracado_tunel,TP,15817,0.00003969586575970365,6.5598084328580405e-6
tracado_tunel,FP,31883,0.00004126108632234412,4.862240012397143e-6
tracado_tunel,FN,4676,0.0001260409258617335,-0.00008205356480640258
tracado_tunel,TN,20153,0.00005216915352676424,-8.632997968322489e-6
tracado_viaduto,TP,15817,0.0002475919073575764,0.000034226618647005654
tracado_viaduto,FP,31883,0.0003038398825590177,-0.000013340652227367954
tracado_viaduto,FN,4676,0.00045198099521065514,-0.00019673247276477126
tracado_viaduto,TN,20153,0.0004090873846322051,-0.00012761924264468046
