rank,source_predictor,predictor_group,transformed_feature_count,mean_abs_margin_contribution,mean_signed_margin_contribution,share_of_total_mean_abs_contribution
1,uf,categorical,27,0.30914061427705003,-0.02296477563943777,0.26622591059992623
2,tipo_pista,categorical,3,0.2156401333022573,-0.011986051413068235,0.18570510699326395
3,hour,categorical,24,0.21537897879567514,-0.007407677708959423,0.18548020578937427
4,br,categorical,125,0.11535052497091844,-0.0020261454225333738,0.09933763837656347
5,condicao_metereologica,categorical,10,0.06993538475580058,0.0008441487853511318,0.060226999073901416
6,km,numeric,1,0.05342911061350782,0.005230840570079059,0.04601211542161731
7,dia_semana,categorical,7,0.04208529200467867,-0.0012095861175985666,0.036243038505345784
8,tracado_reta,binary,1,0.03534370390834038,0.004778382387685264,0.030437313385614968
9,tracado_declive,binary,1,0.026401786513688824,0.002005120317888845,0.022736707282895067
10,tracado_rotatoria,binary,1,0.015050987950956999,-0.0013352987527592607,0.012961619365487278
11,month_name,categorical,12,0.014985442167000656,-0.0001618860161444664,0.012905172605618563
12,uso_solo,categorical,2,0.012244505157178917,-0.0013783001964410464,0.010544730730184911
13,sentido_via,categorical,3,0.011673241823949384,-0.0000918298073047604,0.010052769809951106
14,tracado_curva,binary,1,0.011110312154336027,-0.001363364397593808,0.00956798567944465
15,tracado_aclive,binary,1,0.008296334094738915,0.00025686032373129663,0.007144642266362513
16,tracado_retorno_regulamentado,binary,1,0.0013813678808901578,0.0003931218507667557,0.0011896072692470358
17,tracado_intersecao_de_vias,binary,1,0.0013507358259462667,0.0005014784999272116,0.0011632275367099325
18,tracado_ponte,binary,1,0.0012111951534744185,-7.831984125391427e-6,0.0010430578117405344
19,tracado_em_obras,binary,1,0.0007249733118683761,0.00010969879722266835,0.0006243329772898467
20,tracado_viaduto,binary,1,0.0003303683956817521,-0.000046544268189162955,0.00028450686487602227
21,tracado_desvio_temporario,binary,1,0.00008216060858262802,-7.154624216064584e-6,0.00007075512509576482
22,tracado_tunel,binary,1,0.000049416496081441573,-4.120889420680939e-6,0.00004255652948968129
