key,value
interpretation_status,completed
selected_model_id,phase_4c_xgboost_baseline
selected_model_family,xgboost_gradient_boosted_trees
interpretation_population,2025_post_final_evaluation
final_rows,72529
predictor_count,22
transformed_feature_count,226
interpretation_method,xgboost_native_tree_shap_pred_contribs
contribution_scale,raw_margin
model_artifact_sha256,c9379d5d150dde80615740de750a49b887869a5f56343ce9b967d51937033351
predictions_sha256,411b5113060b19c3cc9da5fe1a6cddcf8a7d7662fe73102a6f3fdb2b05b88375
maximum_probability_reconciliation_error,4.0788276994829786e-07
mean_probability_reconciliation_error,8.79821110029995e-08
top_1_predictor,uf
top_1_mean_abs_contribution,0.30914061427705003
top_2_predictor,tipo_pista
top_2_mean_abs_contribution,0.2156401333022573
top_3_predictor,hour
top_3_mean_abs_contribution,0.21537897879567514
top_4_predictor,br
top_4_mean_abs_contribution,0.11535052497091844
top_5_predictor,condicao_metereologica
top_5_mean_abs_contribution,0.06993538475580058
tp,15817
fp,31883
fn,4676
tn,20153
frozen_threshold,0.23723246157169342
model_modified,false
threshold_modified,false
features_modified,false
preprocessing_modified,false
hyperparameters_modified,false
post_final_evaluation_interpretation,true
causal_interpretation,false
