rank,transformed_feature,source_predictor,predictor_group,category_or_level,mean_abs_margin_contribution,mean_signed_margin_contribution
1,categorical__tipo_pista_Simples,tipo_pista,categorical,Simples,0.16333748430331746,-0.009057053392703312
2,numeric__km,km,numeric,"",0.05342911061350782,0.005230840570079059
3,categorical__uf_RJ,uf,categorical,RJ,0.049295763042818096,-0.008856661103046618
4,categorical__uf_RS,uf,categorical,RS,0.04558408870262294,-0.0007711993538546487
5,categorical__uf_SP,uf,categorical,SP,0.039741662093391916,-0.005272238805497826
6,categorical__tipo_pista_Dupla,tipo_pista,categorical,Dupla,0.03763496880374983,-0.00380652151200959
7,categorical__uf_SC,uf,categorical,SC,0.037616869136038206,0.0006976492967745674
8,binary__tracado_reta,tracado_reta,binary,"",0.03534370390834038,0.004778382387685264
9,categorical__condicao_metereologica_Chuva,condicao_metereologica,categorical,Chuva,0.0273973269826363,0.000725873148136912
10,binary__tracado_declive,tracado_declive,binary,"",0.026401786513688824,0.002005120317888845
11,categorical__hour_19,hour,categorical,19,0.024655146976092217,-0.0005000627458527743
12,categorical__hour_18,hour,categorical,18,0.02037337809631397,-0.00038080462757894334
13,categorical__br_116,br,categorical,116,0.020146821814230047,-0.00011884789890745442
14,categorical__uf_PE,uf,categorical,PE,0.018949463187857958,-0.0009687774021396638
15,categorical__condicao_metereologica_Céu Claro,condicao_metereologica,categorical,Céu Claro,0.01884140629201051,0.0006526465978667893
16,categorical__hour_8,hour,categorical,8,0.01655070868855714,-0.0011061191675276211
17,categorical__condicao_metereologica_Garoa/Chuvisco,condicao_metereologica,categorical,Garoa/Chuvisco,0.015472778918872667,-0.00010895793224112741
18,categorical__hour_9,hour,categorical,9,0.015324324033416107,-0.0007468686104096105
19,categorical__dia_semana_domingo,dia_semana,categorical,domingo,0.015108333356703835,-0.0003450625483998262
20,categorical__hour_21,hour,categorical,21,0.015083283579120036,-0.0006966527902726909
21,binary__tracado_rotatoria,tracado_rotatoria,binary,"",0.015050987950956999,-0.0013352987527592607
22,categorical__uf_BA,uf,categorical,BA,0.014905780177110358,-0.0013414674884326483
23,categorical__tipo_pista_Múltipla,tipo_pista,categorical,Múltipla,0.014667680195189985,0.0008775234916446659
24,categorical__hour_20,hour,categorical,20,0.014335542719063827,-0.0003931021194565565
25,categorical__uf_MA,uf,categorical,MA,0.014320248916971381,-0.0015875890220525665
26,categorical__dia_semana_sábado,dia_semana,categorical,sábado,0.013749451364788395,-0.000450541145249531
27,categorical__hour_10,hour,categorical,10,0.012536189282953579,-0.000420095977342182
28,categorical__hour_7,hour,categorical,7,0.011849632546764754,-0.0005566433301879957
