visual_id,artifact_type,title,output_path,format,source_artifacts,priority,target_section,width_or_rows,height_or_columns,status
M1,figure,Desenho temporal expanding-window e avaliação final,reports/figures/tcc/M1_temporal_design.png,png,reports/tables/phase_3d_temporal_folds.csv; reports/tables/phase_3d_partition_summary.csv,ESSENTIAL_METHODS,Metodologia — Desenho experimental,2964,1678,generated
M1,figure,Desenho temporal expanding-window e avaliação final,reports/figures/tcc/M1_temporal_design.svg,svg,reports/tables/phase_3d_temporal_folds.csv; reports/tables/phase_3d_partition_summary.csv,ESSENTIAL_METHODS,Metodologia — Desenho experimental,2964,1678,generated
F1,figure,Proporção de ocorrências graves em contrastes temporais selecionados,reports/figures/tcc/F1_temporal_contrasts.png,png,reports/tables/phase_2f_association_evidence_matrix.csv,ESSENTIAL,Resultados — Associações descritivas,3570,1458,generated
F1,figure,Proporção de ocorrências graves em contrastes temporais selecionados,reports/figures/tcc/F1_temporal_contrasts.svg,svg,reports/tables/phase_2f_association_evidence_matrix.csv,ESSENTIAL,Resultados — Associações descritivas,3570,1458,generated
F2,figure,Proporção de ocorrências graves em contrastes contextuais selecionados,reports/figures/tcc/F2_contextual_contrasts.png,png,reports/tables/phase_2f_association_evidence_matrix.csv,ESSENTIAL,Resultados — Associações descritivas,3270,2385,generated
F2,figure,Proporção de ocorrências graves em contrastes contextuais selecionados,reports/figures/tcc/F2_contextual_contrasts.svg,svg,reports/tables/phase_2f_association_evidence_matrix.csv,ESSENTIAL,Resultados — Associações descritivas,3270,2385,generated
F4,figure,Average Precision média na validação temporal,reports/figures/tcc/F4_model_average_precision.png,png,reports/tables/phase_4d_model_comparison.csv,ESSENTIAL,Resultados — Comparação dos modelos,2665,1553,generated
F4,figure,Average Precision média na validação temporal,reports/figures/tcc/F4_model_average_precision.svg,svg,reports/tables/phase_4d_model_comparison.csv,ESSENTIAL,Resultados — Comparação dos modelos,2665,1553,generated
F5,figure,Average Precision por ano de validação,reports/figures/tcc/F5_temporal_fold_average_precision.png,png,reports/tables/phase_4d_fold_comparison.csv,ESSENTIAL,Resultados — Validação temporal,2670,1737,generated
F5,figure,Average Precision por ano de validação,reports/figures/tcc/F5_temporal_fold_average_precision.svg,svg,reports/tables/phase_4d_fold_comparison.csv,ESSENTIAL,Resultados — Validação temporal,2670,1737,generated
F6,figure,Matriz de confusão em 2025 no threshold congelado,reports/figures/tcc/F6_confusion_matrix_2025.png,png,reports/tables/phase_4h_threshold_evaluation.csv; reports/tables/phase_4f_threshold_selection.csv,ESSENTIAL,Resultados — Avaliação final,2125,1670,generated
F6,figure,Matriz de confusão em 2025 no threshold congelado,reports/figures/tcc/F6_confusion_matrix_2025.svg,svg,reports/tables/phase_4h_threshold_evaluation.csv; reports/tables/phase_4f_threshold_selection.csv,ESSENTIAL,Resultados — Avaliação final,2125,1670,generated
F7,figure,Calibração descritiva das probabilidades em 2025,reports/figures/tcc/F7_calibration_2025.png,png,reports/tables/phase_4h_calibration.csv,USEFUL,Resultados/Discussão — Avaliação final,1654,1788,generated
F7,figure,Calibração descritiva das probabilidades em 2025,reports/figures/tcc/F7_calibration_2025.svg,svg,reports/tables/phase_4h_calibration.csv,USEFUL,Resultados/Discussão — Avaliação final,1654,1788,generated
F8,figure,Principais contribuições agregadas nas predições do XGBoost,reports/figures/tcc/F8_predictor_contributions.png,png,reports/tables/phase_4i_global_feature_contributions.csv,USEFUL,Fim de Resultados — Interpretação do modelo,2658,1938,generated
F8,figure,Principais contribuições agregadas nas predições do XGBoost,reports/figures/tcc/F8_predictor_contributions.svg,svg,reports/tables/phase_4i_global_feature_contributions.csv,USEFUL,Fim de Resultados — Interpretação do modelo,2658,1938,generated
A2,figure,Distribuição resumida dos scores por resultado da classificação,reports/figures/tcc/A2_score_outcome_summary.png,png,reports/tables/phase_4i_error_analysis.csv,APPENDIX,Apêndice — Diagnóstico do threshold,2670,1737,generated
A2,figure,Distribuição resumida dos scores por resultado da classificação,reports/figures/tcc/A2_score_outcome_summary.svg,svg,reports/tables/phase_4i_error_analysis.csv,APPENDIX,Apêndice — Diagnóstico do threshold,2670,1737,generated
M2,table,Conjunto principal de features e preprocessing,reports/tables/tcc/M2_features_preprocessing.csv,csv,reports/tables/phase_3b_primary_feature_set.csv; reports/tables/phase_3e_preprocessing_contract.csv,ESSENTIAL_METHODS,Metodologia — Variáveis e preprocessing,4,5,generated
