reference_id,authors,year,title,publication,reference_type,doi,verified_url,verification_source,verification_status,themes,planned_section,planned_use,main_supported_claim,important_caution
"REF001","Amirfarrokh Iranitalab; Aemal Khattak","2017","Comparison of four statistical and machine learning methods for crash severity prediction","Accident Analysis & Prevention 108:27-36","peer_reviewed_journal_article","10.1016/j.aap.2017.08.008","https://pubmed.ncbi.nlm.nih.gov/28841408/","PubMed and DOI metadata","VERIFIED","L1;L4","5.2;5.3","Contextualizar comparações entre famílias na predição de gravidade de acidentes.","Métodos estatísticos e de ML já foram comparados em dados de gravidade de acidentes.","Os resultados pertencem ao dataset e ao desenho do artigo; não demonstram superioridade universal nem validam os resultados deste TCC."
"REF002","Maher Ibrahim Sameen; Biswajeet Pradhan","2017","Severity prediction of traffic accidents with recurrent neural networks","Applied Sciences 7(6):476","peer_reviewed_journal_article","10.3390/app7060476","https://doi.org/10.3390/app7060476","DOI resolver and University of Technology Sydney repository metadata","VERIFIED","L1","5.2","Mostrar diversidade de famílias aplicadas à classificação de gravidade.","Redes neurais recorrentes também foram estudadas para predição de gravidade de acidentes.","A amostra e a validação são específicas; não comparar diretamente suas métricas com as deste TCC."
"REF003","Md Mostafizur Rahman Komol; Md Mahmudul Hasan; Mohammed Elhenawy; Shamsunnahar Yasmin; Mahmoud Masoud; Andry Rakotonirainy","2021","Crash severity analysis of vulnerable road users using machine learning","PLOS ONE 16(8):e0255828","peer_reviewed_journal_article","10.1371/journal.pone.0255828","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0255828","PLOS ONE and PubMed metadata","VERIFIED","L1;L4","5.1;5.2;5.3","Contextualizar aplicações de RF, SVM e KNN a níveis de gravidade.","Estudos de gravidade usam diferentes classificadores e variáveis de via, ambiente e usuário.","O artigo trata usuários vulneráveis e níveis de lesão próprios; sua importância de variáveis não é evidência causal."
"REF004","Lucas Franceschi; Luciano Kaesemodel; Vera do Carmo Comparsi de Vargas; Andréa Cristina Konrath; Luiz Ricardo Nakamura; Thiago Gentil Ramires; Camila Belleza Maciel Barreto; Amir Mattar Valente","2022","Fatores relacionados à severidade de acidentes em rodovias no Brasil através de um modelo de regressão logística multinomial","Transportes 30(1):2566","peer_reviewed_journal_article","10.14295/transportes.v30i1.2566","https://transportes.anpet.org.br/anpet/article/view/2566","Journal Transportes article page and DOI metadata","VERIFIED","L1","5.1","Fornecer contexto aplicado brasileiro com dados de rodovias federais.","A severidade em rodovias federais brasileiras já foi analisada com aprendizagem estatística e dados de acidentes.","É referência contextual brasileira, não comparação direta de ML nem confirmação dos contrastes deste TCC."
"REF005","Roger Chapman","1973","The concept of exposure","Accident Analysis & Prevention 5(2):95-110","peer_reviewed_journal_article","10.1016/0001-4575(73)90018-3","https://doi.org/10.1016/0001-4575(73)90018-3","Elsevier article metadata and DOI resolver","VERIFIED","L2","5.1;5.7","Fundamentar a distinção entre acidentes observados e oportunidades de exposição.","Medidas de segurança viária dependem da definição adequada das oportunidades de exposição.","Não prescreve um denominador único; apenas sustenta que contagens ou proporções condicionais não substituem exposição."
"REF006","José G. Moreno-Torres; Troy Raeder; Rocío Alaiz-Rodríguez; Nitesh V. Chawla; Francisco Herrera","2012","A unifying view on dataset shift in classification","Pattern Recognition 45(1):521-530","peer_reviewed_journal_article","10.1016/j.patcog.2011.06.019","https://doi.org/10.1016/j.patcog.2011.06.019","Elsevier article metadata and DOI resolver","VERIFIED","L3","5.4;5.7","Definir mudança entre distribuições de desenvolvimento e aplicação.","Dataset shift ocorre quando as distribuições relevantes diferem entre treino e teste.","A referência fornece taxonomia conceitual; não prova que um shift específico causou os deltas deste TCC."
"REF007","David R. Roberts; Volker Bahn; Simone Ciuti; Mark S. Boyce; Jane Elith; Gurutzeta Guillera-Arroita; Severin Hauenstein; José J. Lahoz-Monfort; Boris Schröder; Wilfried Thuiller; David I. Warton; Brendan A. Wintle; Florian Hartig; Carsten F. Dormann","2017","Cross-validation strategies for data with temporal, spatial, hierarchical, or phylogenetic structure","Ecography 40(8):913-929","peer_reviewed_journal_article","10.1111/ecog.02881","https://doi.org/10.1111/ecog.02881","Wiley journal page and DOI metadata","VERIFIED","L3","5.4","Justificar validação que respeita estrutura temporal quando o interesse é generalização futura.","Estruturas temporais exigem estratégias de validação compatíveis com a dependência dos dados.","O artigo é geral e não transforma três folds deste TCC em evidência de estabilidade estatística."
"REF008","Leo Breiman","2001","Random Forests","Machine Learning 45:5-32","methodological_journal_article","10.1023/A:1010933404324","https://doi.org/10.1023/A:1010933404324","Springer journal page and DOI metadata","VERIFIED","L4","5.3","Referência original do método Random Forest.","Random Forest combina preditores em árvore com aleatoriedade entre árvores.","É referência do método, não evidência de superioridade da Random Forest neste TCC."
"REF009","Tianqi Chen; Carlos Guestrin","2016","XGBoost: A Scalable Tree Boosting System","Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining:785-794","peer_reviewed_conference_paper","10.1145/2939672.2939785","https://doi.org/10.1145/2939672.2939785","ACM Digital Library proceedings page and DOI metadata","VERIFIED","L4","5.3","Referência original do sistema XGBoost e de seu boosting em árvores.","XGBoost implementa tree boosting escalável com tratamento de esparsidade e otimizações de sistema.","É referência do método, não sustentação externa de que XGBoost deve vencer em qualquer dataset."
"REF010","Jesse Davis; Mark Goadrich","2006","The relationship between Precision-Recall and ROC curves","Proceedings of the 23rd International Conference on Machine Learning:233-240","peer_reviewed_conference_paper","10.1145/1143844.1143874","https://doi.org/10.1145/1143844.1143874","ACM Digital Library and ICML bibliographic metadata","VERIFIED","L5;L7","5.2;5.5","Fundamentar relações e diferenças entre espaços PR e ROC.","Curvas PR e ROC estão relacionadas, mas não são intercambiáveis e exigem interpretação própria.","Não implica que AP seja sempre superior a ROC-AUC nem que áreas calculadas por métodos distintos sejam sinônimas."
"REF011","Takaya Saito; Marc Rehmsmeier","2015","The Precision-Recall Plot Is More Informative than the ROC Plot When Evaluating Binary Classifiers on Imbalanced Datasets","PLOS ONE 10(3):e0118432","peer_reviewed_journal_article","10.1371/journal.pone.0118432","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0118432","PLOS ONE article and citation metadata","VERIFIED","L5","5.2","Apoiar o uso condicional de métricas precision-recall quando a classe positiva é menos frequente.","A visualização precision-recall pode revelar desempenho relevante em cenários desbalanceados que a ROC pode ocultar.","A conclusão é condicional ao problema e à prevalência; não autoriza dizer que AP é sempre melhor."
"REF012","Glenn W. Brier","1950","Verification of forecasts expressed in terms of probability","Monthly Weather Review 78(1):1-3","methodological_journal_article","10.1175/1520-0493(1950)078<0001:VOFEIT>2.0.CO;2","https://doi.org/10.1175/1520-0493(1950)078%3C0001:VOFEIT%3E2.0.CO;2","American Meteorological Society journal page and DOI metadata","VERIFIED","L6","5.2;5.4","Referência original do escore quadrático para previsões probabilísticas.","Previsões expressas como probabilidades podem ser avaliadas por uma regra quadrática de erro.","Brier combina aspectos da qualidade probabilística; isoladamente não demonstra calibração perfeita."
"REF013","Ben Van Calster; David J. McLernon; Maarten van Smeden; Laure Wynants; Ewout W. Steyerberg","2019","Calibration: the Achilles heel of predictive analytics","BMC Medicine 17:230","journal_opinion_article","10.1186/s12916-019-1466-7","https://doi.org/10.1186/s12916-019-1466-7","BMC Medicine, PubMed Central and DOI metadata","VERIFIED","L6;L7","5.2;5.4;5.5","Distinguir calibração de discriminação e limitar interpretações de curvas agrupadas.","Calibração deve ser avaliada separadamente da discriminação em modelos probabilísticos.","O contexto do artigo é predição de risco em saúde; neste TCC serve apenas como fundamento metodológico geral."
"REF014","Tom Fawcett","2006","An introduction to ROC analysis","Pattern Recognition Letters 27(8):861-874","peer_reviewed_journal_article","10.1016/j.patrec.2005.10.010","https://doi.org/10.1016/j.patrec.2005.10.010","Elsevier journal page and DOI metadata","VERIFIED","L7","5.5","Contextualizar limiares, custos desiguais e escolha de ponto de operação.","A escolha de classificação depende do ponto de operação e pode envolver custos de erro distintos.","Não fornece custos operacionais da PRF nem torna o threshold deste estudo operacionalmente ótimo."
"REF015","Zachary C. Lipton; Charles Elkan; Balakrishnan Naryanaswamy","2014","Optimal Thresholding of Classifiers to Maximize F1 Measure","Machine Learning and Knowledge Discovery in Databases, Lecture Notes in Computer Science 8725:225-239","peer_reviewed_conference_paper","10.1007/978-3-662-44851-9_15","https://pubmed.ncbi.nlm.nih.gov/26023687/","PubMed, Springer proceedings and DOI metadata","VERIFIED","L7","5.5","Fundamentar que maximizar F1 induz uma regra específica de threshold.","Há uma relação formal entre scores, F1 alcançável e o threshold que maximiza essa métrica.","O máximo de F1 é um ótimo matemático da métrica, não um ótimo operacional sem custos e capacidade."
"REF016","Scott M. Lundberg; Su-In Lee","2017","A Unified Approach to Interpreting Model Predictions","Advances in Neural Information Processing Systems 30","peer_reviewed_conference_paper","","https://proceedings.neurips.cc/paper_files/paper/2017/hash/8a20a8621978632d76c43dfd28b67767-Abstract.html","Official NeurIPS proceedings metadata","VERIFIED","L8","5.6","Referência original do framework SHAP.","SHAP atribui contribuições de features a predições por uma classe de explicações aditivas.","A atribuição explica o comportamento do modelo e não identifica efeito causal no processo gerador dos dados."
"REF017","Scott M. Lundberg; Gabriel Erion; Hugh Chen; Alex DeGrave; Jordan M. Prutkin; Bala Nair; Ronit Katz; Jonathan Himmelfarb; Nisha Bansal; Su-In Lee","2020","From local explanations to global understanding with explainable AI for trees","Nature Machine Intelligence 2(1):56-67","peer_reviewed_journal_article","10.1038/s42256-019-0138-9","https://doi.org/10.1038/s42256-019-0138-9","Nature journal page, PubMed and DOI metadata","VERIFIED","L8","5.6","Fundamentar Tree SHAP e a passagem cautelosa de explicações locais a resumos globais.","Explicações locais de modelos em árvore podem ser agregadas para descrever estrutura preditiva global.","A agregação depende da representação e não converte contribuição preditiva em causalidade."
"REF018","Dominik Janzing; Lenon Minorics; Patrick Blöbaum","2020","Feature relevance quantification in explainable AI: A causal problem","Proceedings of the Twenty Third International Conference on Artificial Intelligence and Statistics, PMLR 108:2907-2916","peer_reviewed_conference_paper","","https://proceedings.mlr.press/v108/janzing20a.html","Official PMLR proceedings metadata","VERIFIED","L8","5.6;5.7","Sustentar a fronteira entre atribuição observacional e interpretação causal.","A quantificação de relevância por valores de Shapley envolve escolhas de distribuição e questões causais não resolvidas pela atribuição preditiva.","Não implica que todo uso de SHAP seja inválido; exige declarar o estimando e evitar inferência causal automática."
"REF019","I. Elizabeth Kumar; Suresh Venkatasubramanian; Carlos Scheidegger; Sorelle Friedler","2020","Problems with Shapley-value-based explanations as feature importance measures","Proceedings of the 37th International Conference on Machine Learning, PMLR 119:5491-5500","peer_reviewed_conference_paper","","https://proceedings.mlr.press/v119/kumar20e.html","Official PMLR proceedings metadata","VERIFIED","L8","5.6;5.7","Registrar limites conceituais de importâncias baseadas em Shapley.","Explicações por Shapley possuem limitações quando usadas como medidas gerais de importância e podem exigir raciocínio causal adicional.","A crítica não invalida o uso descritivo de Tree SHAP adotado neste TCC; limita o alcance da interpretação."
