numeric_id,section_id,text_fragment,displayed_value,source_artifact,source_value,rounding_rule,status
"NUM001","4.1","População, desfecho e prevalência global no parágrafo de abertura","342.624; 96.857; 245.767; 28,27%","reports/tables/tcc/T1_population_characterization.csv","342624; 96857; 245767; 28.269181","inteiros com separador de milhar; percentual com 2 casas","PASS"
"NUM002","4.1","Limites anuais da prevalência no texto","28,06%; 28,49%","reports/tables/phase_2a_year_summary.csv","28.060774; 28.494257","2 casas no texto","PASS"
"NUM003","4.1/T1","Linha 2021 da Tabela 1","64.567; 18.118; 46.449; 28,0608","reports/tables/tcc/T1_population_characterization.csv","64567; 18118; 46449; 28.060774","inteiros com separador de milhar; percentual com 4 casas","PASS"
"NUM004","4.1/T1","Linha 2022 da Tabela 1","64.606; 18.409; 46.197; 28,4943","reports/tables/tcc/T1_population_characterization.csv","64606; 18409; 46197; 28.494257","inteiros com separador de milhar; percentual com 4 casas","PASS"
"NUM005","4.1/T1","Linha 2023 da Tabela 1","67.766; 19.212; 48.554; 28,3505","reports/tables/tcc/T1_population_characterization.csv","67766; 19212; 48554; 28.3505","inteiros com separador de milhar; percentual com 4 casas","PASS"
"NUM006","4.1/T1","Linha 2024 da Tabela 1","73.156; 20.625; 52.531; 28,1932","reports/tables/tcc/T1_population_characterization.csv","73156; 20625; 52531; 28.193176","inteiros com separador de milhar; percentual com 4 casas","PASS"
"NUM007","4.1/T1","Linha 2025 da Tabela 1","72.529; 20.493; 52.036; 28,2549","reports/tables/tcc/T1_population_characterization.csv","72529; 20493; 52036; 28.254905","inteiros com separador de milhar; percentual com 4 casas","PASS"
"NUM008","4.1/T1","Linha total da Tabela 1","342.624; 96.857; 245.767; 28,2692","reports/tables/tcc/T1_population_characterization.csv","342624; 96857; 245767; 28.269181","inteiros com separador de milhar; percentual com 4 casas","PASS"
"NUM009","4.2.1","Plena Noite versus Pleno dia e diferença","32,47%; 25,30%; 7,17 p.p.","reports/tables/phase_5a_research_question_evidence.csv","32.472550%; 25.304737%; 7.167813 p.p.","2 casas no texto","PASS"
"NUM010","4.2.1","Fim de semana versus dias úteis","30,19%; 27,33%","reports/tables/phase_5a_research_question_evidence.csv","30.192457%; 27.330336%","2 casas no texto","PASS"
