"numeric_id","section_id","phase_5e2_displayed_value","phase_5f_displayed_value","source_artifact","change_type","status"
"NUM001","4.1","342.624; 96.857; 245.767; 28,27%","342.624; 96.857; 245.767; 28,27%","reports/tables/tcc/T1_population_characterization.csv","PRESERVED","PASS"
"NUM002","4.1","28,06%; 28,49%","28,06%; 28,49%","reports/tables/phase_2a_year_summary.csv","PRESERVED","PASS"
"NUM003","4.1/T1","64.567; 18.118; 46.449; 28,0608","64.567; 18.118; 46.449; 28,0608","reports/tables/tcc/T1_population_characterization.csv","PRESERVED","PASS"
"NUM004","4.1/T1","64.606; 18.409; 46.197; 28,4943","64.606; 18.409; 46.197; 28,4943","reports/tables/tcc/T1_population_characterization.csv","PRESERVED","PASS"
"NUM005","4.1/T1","67.766; 19.212; 48.554; 28,3505","67.766; 19.212; 48.554; 28,3505","reports/tables/tcc/T1_population_characterization.csv","PRESERVED","PASS"
"NUM006","4.1/T1","73.156; 20.625; 52.531; 28,1932","73.156; 20.625; 52.531; 28,1932","reports/tables/tcc/T1_population_characterization.csv","PRESERVED","PASS"
"NUM007","4.1/T1","72.529; 20.493; 52.036; 28,2549","72.529; 20.493; 52.036; 28,2549","reports/tables/tcc/T1_population_characterization.csv","PRESERVED","PASS"
"NUM008","4.1/T1","342.624; 96.857; 245.767; 28,2692","342.624; 96.857; 245.767; 28,2692","reports/tables/tcc/T1_population_characterization.csv","PRESERVED","PASS"
"NUM009","4.2.1","32,47%; 25,30%; 7,17 p.p.","32,47%; 25,30%; 7,17 p.p.","reports/tables/phase_5a_research_question_evidence.csv","PRESERVED","PASS"
"NUM010","4.2.1","30,19%; 27,33%","30,19%; 27,33%","reports/tables/phase_5a_research_question_evidence.csv","PRESERVED","PASS"
"NUM011","4.2.1","19h; 33,73%; 8h; 23,12%","19h; 33,73%; 8h; 23,12%","reports/tables/phase_2f_association_evidence_matrix.csv","PRESERVED","PASS"
"NUM012","4.2.2","35,92%; 24,87%","35,92%; 24,87%","reports/tables/phase_5a_research_question_evidence.csv","PRESERVED","PASS"
"NUM013","4.2.2","45,81%; 18,64%","45,81%; 18,64%","reports/tables/phase_5a_research_question_evidence.csv","PRESERVED","PASS"
"NUM014","4.2.2","33,71%; 23,35%","33,71%; 23,35%","reports/tables/phase_5a_research_question_evidence.csv","PRESERVED","PASS"
"NUM015","4.2.2","500; 31,50%; 22,26%","500; 31,50%; 22,26%","reports/tables/phase_5a_research_question_evidence.csv","PRESERVED","PASS"
"NUM016","4.2.3","44,35 p.p.","44,35 p.p.","reports/tables/phase_5a_research_question_evidence.csv","PRESERVED","PASS"
"NUM017","4.2.3","51,48 p.p.","51,48 p.p.","reports/tables/phase_5a_research_question_evidence.csv","PRESERVED","PASS"
"NUM018","4.3","3; 0,3935; 0,3960; 0,4008","3; 0,3935; 0,3960; 0,4008","reports/tables/phase_4d_model_comparison.csv","PRESERVED","PASS"
"NUM019","4.3","0,0025; 0,0073; 0,0048","0,0025; 0,0073; 0,0048","reports/tables/phase_4d_pairwise_ap_deltas.csv","PRESERVED","PASS"
"NUM020","4.4","0,3904; 0,4050; 0,4071","0,3904; 0,4050; 0,4071","reports/tables/phase_4d_fold_comparison.csv","PRESERVED","PASS"
"NUM021","4.4","9","9","reports/tables/phase_4d_fold_comparison.csv","PRESERVED","PASS"
"NUM022","4.5","0,3974; 0,6286; 0,1938; 0,3316; 0,7718; 0,4639","0,3974; 0,6286; 0,1938; 0,3316; 0,7718; 0,4639","reports/tables/tcc/T2_final_2025_evaluation.csv","PRESERVED","PASS"
"NUM023","4.5","−0,0034; −0,0023; aproximadamente −0,00008","−0,0034; −0,0023; aproximadamente −0,00008","reports/tables/tcc/T2_final_2025_evaluation.csv","PRESERVED","PASS"
"NUM024","4.5/T2","0,4008; 0,3974; −0,0034","0,4008; 0,3974; −0,0034","reports/tables/tcc/T2_final_2025_evaluation.csv","PRESERVED","PASS"
"NUM025","4.5/T2","0,6308; 0,6286; −0,0023","0,6308; 0,6286; −0,0023","reports/tables/tcc/T2_final_2025_evaluation.csv","PRESERVED","PASS"
"NUM026","4.5/T2","0,1939; 0,1938; −0,0001","0,1939; 0,1938; −0,0001","reports/tables/tcc/T2_final_2025_evaluation.csv","PRESERVED","PASS"
"NUM027","4.5/T2","0,3333; 0,3316; −0,0017","0,3333; 0,3316; −0,0017","reports/tables/tcc/T2_final_2025_evaluation.csv","PRESERVED","PASS"
"NUM028","4.5/T2","0,7705; 0,7718; +0,0014","0,7705; 0,7718; +0,0014","reports/tables/tcc/T2_final_2025_evaluation.csv","PRESERVED","PASS"
"NUM029","4.5/T2","0,4653; 0,4639; −0,0014","0,4653; 0,4639; −0,0014","reports/tables/tcc/T2_final_2025_evaluation.csv","PRESERVED","PASS"
"NUM030","4.6","0,237232; 2022; 2023; 2024","0,237232; 2022; 2023; 2024","reports/tables/phase_4f_threshold_selection.csv","PRESERVED","PASS"
"NUM031","4.6","20.153; 31.883; 4.676; 15.817","20.153; 31.883; 4.676; 15.817","reports/tables/phase_4h_threshold_evaluation.csv","PRESERVED","PASS"
"NUM032","4.6","77,18%; 33,16%; 0,4639","77,18%; 33,16%; 0,4639","reports/tables/phase_4h_threshold_evaluation.csv","PRESERVED","PASS"
"NUM033","4.7.1","10","10","reports/tables/phase_4h_calibration.csv","PRESERVED","PASS"
"NUM034","4.7.2","5; 8","5; 8","reports/tables/phase_4i_global_feature_contributions.csv","PRESERVED","PASS"
"NUM035","4.7.2","125","125","reports/tables/phase_4i_global_feature_contributions.csv","PRESERVED","PASS"
"NUM036","5.2","0,63","0,63","reports/tables/phase_4h_final_evaluation.csv","PRESERVED","PASS"
"NUM037","5.3","2021–2024; 22","2021–2024; 22","reports/tables/phase_4g_final_model_manifest.csv","PRESERVED","PASS"
"NUM038","5.4","3","3","reports/tables/phase_3d_temporal_folds.csv","PRESERVED","PASS"
"NUM039","5.5","77%; 33%; 31.883","77%; 33%; 31.883","reports/tables/phase_4h_threshold_evaluation.csv","PRESERVED","PASS"
"NUM040","5.7","3; 1","3; 1","reports/tables/phase_3d_temporal_folds.csv; reports/tables/phase_3d_partition_summary.csv","PRESERVED","PASS"
"NUM041","5.7","125","125","reports/tables/phase_4i_global_feature_contributions.csv","PRESERVED","PASS"
