asset_id,part_id,path,scientific_status,row_count,size_bytes,sha256,source_artifacts,schema_version,status
META,default,meta.json,DOCUMENTATION,1,1267,789ef663c2a7ace6702368ec61fdb82a716c2daeb6348cd431c097de4339cd61,docs/PHASE_1_ACCEPTANCE.md; docs/PHASE_3B_FEATURE_POLICY.md; reports/tables/tcc/T1_population_characterization.csv,1,PASS
OVERVIEW,default,overview/summary.json,MIXED,6,2137,569fd1aa6e7abb5c4d61eac377ac284957f21a2da49bf0d29f32540765aa6114,reports/tables/tcc/T1_population_characterization.csv; data/processed/prf_primary_analytical_2021_2025.parquet,1,PASS
EXPLORATION,temporal,exploration/temporal.json,EXPLORATORY,840,202578,ac7e3fa435686d55858c64129617ebc82bbe5ab0fa0bf732eb9cbbdf26b07335,data/processed/prf_primary_analytical_2021_2025.parquet; reports/tables/phase_3c_analytical_schema.csv,1,PASS
EXPLORATION,contextual,exploration/contextual.json,EXPLORATORY,256,74353,cefc725e90d27e89483c5ea54d9881357459bd3706bb6dbb20ad68bf31b5c39f,data/processed/prf_primary_analytical_2021_2025.parquet; reports/tables/phase_3c_analytical_schema.csv,1,PASS
GEOGRAPHY,default,geography/geography.json,EXPLORATORY,1288,286016,e8eb18c2d24c26f798a64a37a6cd8fe1d069734ac7464f85c8717fea0ff764e8,data/processed/prf_primary_analytical_2021_2025.parquet; reports/tables/phase_3c_analytical_schema.csv,1,PASS
MODEL_COMPARISON,default,models/model_comparison.json,FROZEN_RESULT,3,2746,c73211d1757de8d2344c592015f4ce595a1d6a58aee6c8e3bd83e9897b2195b2,reports/tables/phase_4d_model_comparison.csv; reports/tables/phase_4d_pairwise_ap_deltas.csv; reports/tables/phase_4e_model_selection.csv,1,PASS
TEMPORAL_VALIDATION,default,validation/temporal_validation.json,FROZEN_RESULT,9,4146,bf1ca374efe755993bfde4038fd0efcdc9f4de15381eceb835855527c7c79c49,reports/tables/phase_4d_fold_comparison.csv; reports/tables/phase_4d_temporal_stability.csv,1,PASS
FINAL_2025,default,models/final_2025.json,FROZEN_RESULT,6,4073,f717a8d1b60a8459e56211e4b7a8432e07c1a7e9ad7445ac9dd38593b823baa7,reports/tables/tcc/T2_final_2025_evaluation.csv; reports/tables/phase_4h_final_evaluation.csv; reports/tables/phase_4h_development_comparison.csv,1,PASS
CALIBRATION_2025,default,models/calibration_2025.json,FROZEN_RESULT,10,3040,5d72cb4c5c85940a03face8b58ec1a92cd807ed35f4cbfcefcce8cd5c87a2784,reports/tables/phase_4h_calibration.csv,1,PASS
THRESHOLD_2025,default,threshold/threshold_2025.json,FROZEN_RESULT,1,929,e5579439ba9f5af6f6a3cfec290ea8b639fe10a3150b6429efaae25bfa91c264,reports/tables/phase_4f_threshold_selection.csv; reports/tables/phase_4h_threshold_evaluation.csv,1,PASS
INTERPRETATION,source_predictors,interpretation/source_predictors.json,FROZEN_RESULT,22,7500,ef902aaf547993c0a04d926a2196dd54844b50d517aabbb95d4b6b7c0aead7ac,reports/tables/phase_4i_global_feature_contributions.csv,1,PASS
INTERPRETATION,transformed_top15,interpretation/transformed_top15.json,FROZEN_RESULT,15,5213,e0413ff09154e3e608842aa37358003ad51808bf5bbdbd9c95f86144f4c6be0c,reports/tables/tcc/A1_top15_transformed_features.csv; reports/tables/phase_4i_transformed_feature_contributions.csv,1,PASS
METHODOLOGY_DESIGN,default,methodology/design.json,DOCUMENTATION,3,4262,c1181026ade8fd83776ab99a57f8aa333382ec8fa202e6d1b5871c00a6f48fbb,reports/tables/phase_3d_temporal_folds.csv; reports/tables/phase_3d_experimental_contract.csv; docs/PHASE_3D_EXPERIMENTAL_DESIGN.md,1,PASS
METHODOLOGY_FEATURES,default,methodology/features.json,DOCUMENTATION,11,15171,626f12989cd1c59482b2ad645ea37af1e8890865f608af2d46339faac756423a,reports/tables/tcc/M2_features_preprocessing.csv; reports/tables/phase_3b_primary_feature_set.csv; reports/tables/phase_3c_analytical_schema.csv; reports/tables/phase_3e_preprocessing_contract.csv,1,PASS
